LABEL,PHY_REGION,LAT,LON
Elementary CDS,E,34.0339793556182,-118.23432878103
Phoenix High,W,33.9969010666911,-118.440851141641
Pueblo de LA High,E,34.0687918366515,-118.197616816286
San Antonio High,E,33.9874104039035,-118.21708504744
96th St DLC Sp,S,33.9501846705614,-118.248323468966
Dominguez DLC Sp,S,33.836104344586,-118.213952069143
Knox DLC Sp,S,33.9555258060262,-118.274575666599
Fullbright DLC Sp,N,34.1965223997534,-118.576261850917
Hobart Blvd DLC Sp,W,34.0534965622101,-118.304837812289
Park Ave DLC Sp,E,33.960674753779,-118.173237566686
Aurora DTS,E,33.9946781227489,-118.257577152826
Westminster Ave EEC,W,33.991750182059,-118.473213645733
Wilton Pl EEC,W,34.0583637214986,-118.316007989664
Cleveland Infant Ctr,N,34.2159056130897,-118.547732681127
Locke Infant Ctr,S,33.9344243301179,-118.268855042073
Ramona Infant Ctr,E,34.0389565726487,-118.191706894522
Thoreau High,N,34.1690974904871,-118.569887706075
Whitman High,W,34.0803992483388,-118.35968574945
Wooden High,N,34.213047926087,-118.541399542661
Young High,S,33.9951232469084,-118.326127056108
Vista del Valle Ac DL,N,34.2955288816645,-118.42168708674
Aldama DLC Sp,E,34.1099671998992,-118.207163135168
Huntington Dr DLC,E,34.0827180838208,-118.191850410578
Wilton Pl DLC Ko,W,34.0585321455232,-118.315369035643
Miles Ave DLC Sp,E,33.9775483732812,-118.217795778992
Kingsley DLC Sp,W,34.0914007802775,-118.303194933425
Cahuenga DLC Ko,W,34.0703635784258,-118.305096218548
Elizabeth LC DLC Ar,E,33.9640912198657,-118.184026436754
Carson-Gore DTS,W,34.0393607922479,-118.319101186673
Normont DLC Sp,S,33.7960341335865,-118.293245363808
Grant DLC Ar,W,34.0999492713168,-118.31248145657
Hooper Ave PC DLC Sp,E,33.9955803168569,-118.252828398222
Alexander SCS DLC Sp,S,34.0173077198559,-118.284016575494
Queen Anne Pl DLC,W,34.0512679255756,-118.330902093531
Roybal-Allard DLC,E,33.9754040549464,-118.209501312122
Gridley St DLC Sp,N,34.3027484423011,-118.429103021962
3rd St DLC Ko,W,34.0700084552056,-118.335342262542
Logan Acad DL TWI,E,34.0794955663329,-118.257580542276
Portola Acad of IA&T,N,34.1661497110745,-118.542851607329
Woodlawn Ave DL Sp,E,33.9778153361824,-118.177234190365
Madison DLC Sp,E,33.9459162409876,-118.214163290428
Cahuenga DLC Sp,W,34.0703635784258,-118.305096218548
Atwater Ave DLC Sp,W,34.1150658363587,-118.25450128524
Kittridge St DL Ar,N,34.1915872146972,-118.429897379652
118th St DLC Sp,S,33.926025007834,-118.271998356847
Arlington Hts DTS,W,34.0414207233319,-118.325467041658
Marianna DLC Sp,E,34.0356831015109,-118.175175444096
Gardena DLC Sp,S,33.8822868857752,-118.286610994081
Stoner Ave DLC Sp,W,33.995590307005,-118.413474083048
Meyler St DLC Sp,S,33.8253646927681,-118.295902226105
City Terrace DL Ma,E,34.0569603150361,-118.171478164178
Denker Ave DLC Ko,S,33.8828837029721,-118.305735320032
Saticoy DL Ar,N,34.2130091510821,-118.41554138922
Gratts LA for YS DLC,E,34.058141920347,-118.262804909604
2nd St DLC Sp,E,34.0448840624096,-118.217485281107
Telfair Ave DLC Sp,N,34.2681699708803,-118.431923626729
Roscoe DLC Sp,N,34.2163947102948,-118.366862650325
Humphreys Ave DLC Sp,E,34.0286821737471,-118.170272432537
6th Ave DLC Sp,W,34.0266254768233,-118.324172710326
Ford Blvd DLC Sp,E,34.0202806956606,-118.171411794682
Willow DLC Sp,E,33.9552462978956,-118.222013584043
Washington PC DLC Sp,S,33.9326544023754,-118.291004240655
Kittridge St DLC Sp,N,34.1915872146972,-118.429897379652
Coldwater Cyn DTS,N,34.195038890033,-118.412518919205
Lassen DLC Sp,N,34.2472355372172,-118.459957722403
Anton DTS,E,34.0465867067434,-118.181787537502
Ochoa LC DLC Sp,E,33.9679311713605,-118.176600879948
Mayberry St DL Sp,W,34.084012294974,-118.264872096619
President Ave DLC,S,33.8047639310786,-118.302175885496
Richland Ave DL Fr,W,34.027732999331,-118.439372288493
Farmdale DLC Sp,E,34.0776171918636,-118.179377776566
RFK Ambsdr Glbl Ed Sp,W,34.0584167136384,-118.2958907297
Latona Ave DLC Sp,E,34.0917797098547,-118.202312099378
Fishburn Ave DLC Sp,E,33.9891596407548,-118.190878245225
South Park DLC Sp,S,33.9608377321974,-118.26621080561
State St DLC Sp,E,33.9643959259554,-118.211670861569
Independence DLC Sp,E,33.9589776284574,-118.210106886192
Ranchito Ave DLC Sp,N,34.2148929731136,-118.43381227376
Lorena St DLC Sp,E,34.0255836369784,-118.203412028705
Broad Ave DLC Sp,S,33.8015055776435,-118.262776266909
Wilshire Crest DLC Sp,W,34.0580308820798,-118.343760285597
Chapman DLC Ma,S,33.895501417947,-118.312912212732
Stanford PC DLC Sp,E,33.9482683444406,-118.217643785154
San Miguel DLC Mnd,E,33.9451778052279,-118.201481445966
Baca Arts Acad DLC Sp,S,33.9557580566187,-118.246216696189
Kim DLC Ko,W,34.0702247652619,-118.308157190929
Sunny Brae DLC Sp,N,34.2128775520168,-118.582085317111
Rosemont Ave EEC,E,34.0716168280196,-118.269559571821
Cruz EEC,E,34.0476013936162,-118.272590156298
24th St EEC,S,34.0350726050191,-118.312086390609
Loma Vista DLC Sp,E,33.9900452104811,-118.199659499309
San Gabriel DLC Sp,E,33.9556750483225,-118.201672234702
Harvard DLC Sp,W,34.0769681307914,-118.303979902931
Micheltorena St DL,W,34.0890972814677,-118.275474092646
Florence Ave DL Sp,E,33.9738239441915,-118.23880394585
RFK Ambsdr Glbl Ed Sp,W,34.0584167136384,-118.2958907297
Broadway DLC Ma,W,33.9970752430515,-118.46226702783
Castelar St EEC,E,34.0637981693771,-118.239928395505
Cleveland EEC,N,34.2159056130897,-118.547732681127
Collins EEC,S,33.9956701086813,-118.289492082001
Dacotah EEC,E,34.0219362109093,-118.209834574652
Dolores St EEC,S,33.8237238346629,-118.271859496152
Escalante EEC,E,33.9694945728386,-118.188745843558
Olive Vista STEAM Mag,N,34.3114637374339,-118.449925376479
Wonderland Gifted Mag,W,34.113928276009,-118.380064301182
Eastman Ave DL Sp,E,34.0177218041994,-118.18553878109
Montara Ave DL Sp,E,33.9445594116711,-118.217857241302
Mountain View DLC,N,34.2484171365165,-118.272435734488
Cantara St,N,34.2184579857125,-118.525364029544
Stagg St,N,34.212977966462,-118.506606441947
Lorne St,N,34.216485583549,-118.513130241248
Anatola Ave,N,34.2032405906433,-118.514269945322
Calvert Chrtr for Enr Studies,N,34.1818506950049,-118.565022303122
Gault St,N,34.1985333655814,-118.504581553489
Lemay St,N,34.1929604243747,-118.515580377261
Mulholland Middle,N,34.192747710701,-118.505353006488
Garden Grove,N,34.2055978380724,-118.52837363124
Bertrand Ave,N,34.1984047246209,-118.525356549474
Parthenia Acad of Arts and Tech,N,34.2276812917051,-118.499296179354
Sunland,N,34.2628959631439,-118.314318217222
Mount Gleason Middle,N,34.2693859868144,-118.303787789095
Langdon Ave,N,34.2301833480984,-118.470816660561
Noble Ave,N,34.2232838384676,-118.461741452139
Fulton College Prep,N,34.206590548533,-118.45961777229
Sylvan Park,N,34.1836560443428,-118.460814751919
Bassett St,N,34.1954036606047,-118.477536605638
Hazeltine Ave,N,34.2006177630728,-118.439227896474
Ranchito Ave,N,34.2148929731136,-118.43381227376
Burton St,N,34.2197428502387,-118.44171673145
Saticoy,N,34.2130091510821,-118.41554138922
Strathern St,N,34.214958897289,-118.400903456169
Cohasset St,N,34.2076178834663,-118.478267337925
Francis Polytechnic High,N,34.223947094801,-118.40394172765
Arminta St,N,34.2149958443657,-118.382767757984
Sun Valley ET Mag,N,34.2032408353823,-118.376381058862
Fair Ave,N,34.1894650080545,-118.375627961759
Victory Blvd,N,34.1856972323802,-118.392980464045
Plainview Academic Chrtr Acad,N,34.2656197321441,-118.299165513966
Woodlake ES Comm Chrtr,N,34.1762839555701,-118.633520032732
Ambler Ave,S,33.8781982740333,-118.270799735346
1st St,E,34.0405189968146,-118.204782674088
Gates St,E,34.0728476327389,-118.205859124422
Gledhill St,N,34.2410120199986,-118.48197551446
Lassen,N,34.2472355372172,-118.459957722403
Verdugo Hills High,N,34.2616539903068,-118.299325286442
Monlux,N,34.1815698977264,-118.409918260573
Erwin St,N,34.1822158760157,-118.424796260748
Kittridge St,N,34.1915872146972,-118.429897379652
Van Nuys,N,34.1882400704909,-118.445471211579
Madison Middle,N,34.1964268682075,-118.416497522769
Coldwater Canyon,N,34.195038890033,-118.412518919205
Westside Glbl Awr Mag,W,33.979226117896,-118.464633534371
Vine St,W,34.0880440980414,-118.327171812915
Allesandro,W,34.1019316009581,-118.251937256777
Apperson St,N,34.2552467741843,-118.307937334646
Vinedale Col Prep Acad,N,34.2332211707179,-118.352673969053
Lowman Spec Ed Ctr and Career Trans Ctr,N,34.2070996462063,-118.413189094275
Roscoe,N,34.2163947102948,-118.366862650325
Hale Chrtr Acad MS,N,34.1766139473901,-118.645476862652
Calabash Chrtr Acad,N,34.1586763448353,-118.629472049458
Woodland Hills Chrtr,N,34.159118335596,-118.610352863367
Dyer St,N,34.300085839418,-118.447959059752
Marina EEC,W,33.9872322414059,-118.418607843778
Olive Vista Middle,N,34.3114637374339,-118.449925376479
Stonehurst STEAM Mag,N,34.249154568696,-118.370354929243
Mountain View,N,34.2484171365165,-118.272435734488
Glenwood,N,34.216421747708,-118.358221925236
San Fernando High,N,34.2728612098131,-118.443318338016
Chase St,N,34.2264236387686,-118.439382577463
Colfax Chrtr,N,34.1607295713442,-118.388394559748
North Valley Occ Ctr,N,34.2782233858306,-118.456869696466
Monte Vista St,E,34.110512718442,-118.198042150684
Glen Alta,E,34.0851481568188,-118.199438236794
Solano Ave,E,34.0762305696989,-118.232374493937
Castlebay Lane,N,34.293461075244,-118.547687467182
Vaughn Next Century Learning Ctr,N,34.2808946122278,-118.4231811849
Justice St Acad Chrtr,N,34.2155791440526,-118.635216122332
Capistrano Ave,N,34.2167560027589,-118.61633882199
Nevada Ave,N,34.2233196733656,-118.608124383685
Canoga Park Middle,N,34.2116069717164,-118.612046025358
Canoga Park,N,34.2056157781138,-118.605211730738
Hart St,N,34.1965357477804,-118.591762060722
Chatsworth Chrtr,N,34.253657416911,-118.586327704224
Nobel Chrtr Middle,N,34.251219580033,-118.55248823113
Kennedy High,N,34.2751250165491,-118.487004223785
Andasol Ave,N,34.2547947032851,-118.514418380875
Mayall St Acad of Art & Tech Mag,N,34.2545940951501,-118.495655188825
Canoga Park High,N,34.1956119531789,-118.603759799087
Enadia Tech Enriched Chrtr,N,34.1993828025125,-118.62666484071
Sunny Brae Ave,N,34.2128775520168,-118.582085317111
Winnetka Ave,N,34.2195634930607,-118.569855701745
Melvin Ave,N,34.2099864598315,-118.559109882816
Cleveland Chrtr,N,34.2178488857485,-118.547377885641
Balboa Blvd Mag,N,34.248017276611,-118.503208244563
Monroe High,N,34.2375970039167,-118.478507750577
Dearborn Chrtr Acad,N,34.2383405435373,-118.507595508907
Plummer,N,34.2405369400217,-118.460030221564
Vintage Sci/Math Mag,N,34.251978367213,-118.477369205825
San Jose St,N,34.2618757597288,-118.457512579967
J Miller Career/Transition Ctr,N,34.2202118959382,-118.548607513597
Sutter Middle,N,34.2029967490709,-118.569556070386
Fullbright Ave,N,34.1965223997534,-118.576261850917
Welby Way Chrtr,N,34.1914996975024,-118.637890958146
Montague Chrtr AAS,N,34.244194810026,-118.415714506293
Sharp Ave,N,34.2522807984906,-118.432525182875
Beachy Ave,N,34.2474755941096,-118.438795016645
Liggett St,N,34.2406121288965,-118.446262352372
Pacoima Chrtr,N,34.2693537504351,-118.414922178735
Hamlin Chrtr Acad,N,34.1898994166388,-118.620012226983
Haynes Chrtr for Enriched Studies,N,34.1903857008583,-118.648098431824
Lockhurst Dr Chrtr,N,34.1830193188269,-118.646957204429
Pomelo Comm Chrtr,N,34.2090158436785,-118.643063239293
Leichman Spec Ed Ctr,N,34.1986844476446,-118.54841943449
Canterbury Ave,N,34.2330337620449,-118.429261607391
Vena Ave,N,34.2398681941686,-118.420682881943
Fernangeles,N,34.232032687766,-118.39509313057
Telfair Ave,N,34.2681699708803,-118.431923626729
Lokrantz Spec Ed Ctr,N,34.2038990907863,-118.556898978761
Reseda,N,34.2039912562333,-118.538786109596
Reseda Chrtr High,N,34.1896107317814,-118.529241164524
