fid,OBJECTID,OBJIDstr,AIN,NumPrefix,Number,NumSuffix,PreMod,PreDir,PreType,StArticle,StreetName,PostType,PostDir,PostMod,BldgID,BldgSource,BldgTypePl,BldgType,BldgName,FlrTypePl,FlrType,FlrName,UnitType,UnitName,ZipCode,Zip4,LegalComm,PostComm1,PostComm2,PostComm3,OtherComm1,OtherComm2,Source,SourceID,MADRank,AROIDstr,OIDstr,PropType,ObjID,PreDirAbbr,PostDirAbbr,PreTypeAbbr,PostTypeAbbr,FullName,UpdateDate,FullAddress,UniqueID,StName_EnerGov,FullAddress_EnerGov,MSAG_City,ESN,lon,lat
13935,55679,,,,23057.0,,,,Park,,Dulce,,,,,,,,,,,,Unit,85,91302.0,,Calabasas,Calabasas,Hidden Hills,,,,Office of Assessor,{A15D88DC-96A4-4E11-A6C3-1C127D4DC4D2},0,,A15D88DC-96A4-4E11-A6C3-1C127D4DC4D2,Unknown,,,,Pk,,Park Dulce,2024/05/12 21:05:27+00,23057 Park Dulce Unit 85 Calabasas 91302,A15D88DC-96A4-4E11-A6C3-1C127D4DC4D2_23057_Park_Dulce_Unit_85_Calabasas_91302,Park Dulce,23057 Park Dulce Unit 85 Calabasas 91302,,,,
14068,58584,,,,23045.0,,,,Park,,Dulce,,,,,,,,,,,,Unit,87,91302.0,,Calabasas,Calabasas,Hidden Hills,,,,Office of Assessor,{20DE6915-69B4-483A-A077-C0F8F19077B1},0,,20DE6915-69B4-483A-A077-C0F8F19077B1,Unknown,,,,Pk,,Park Dulce,2024/05/12 21:05:27+00,23045 Park Dulce Unit 87 Calabasas 91302,20DE6915-69B4-483A-A077-C0F8F19077B1_23045_Park_Dulce_Unit_87_Calabasas_91302,Park Dulce,23045 Park Dulce Unit 87 Calabasas 91302,,,,
14072,58650,,,,4429.0,,,,Park,,Arroyo,,,,,,,,,,,,,,91302.0,,Calabasas,Calabasas,Hidden Hills,,,,Office of Assessor,{8FD241A8-424A-4628-B747-22DB23809FF8},0,,8FD241A8-424A-4628-B747-22DB23809FF8,Unknown,,,,Pk,,Park Arroyo,2024/05/12 21:05:27+00,4429 Park Arroyo Calabasas 91302,8FD241A8-424A-4628-B747-22DB23809FF8_4429_Park_Arroyo_Calabasas_91302,Park Arroyo,4429 Park Arroyo Calabasas 91302,,,,
14092,58965,,,,4341.0,,,,,,Freedom,Drive,,,,,,,,,,,Unit,C,91302.0,,Calabasas,Calabasas,Hidden Hills,,,,Office of Assessor,{AA675480-DF1E-4F24-8AFA-BDC12AB2C9F2},0,,AA675480-DF1E-4F24-8AFA-BDC12AB2C9F2,Unknown,,,,,Dr,Freedom Dr,2024/05/12 21:05:27+00,4341 Freedom Dr Unit C Calabasas 91302,AA675480-DF1E-4F24-8AFA-BDC12AB2C9F2_4341_Freedom_Dr_Unit_C_Calabasas_91302,Freedom,4341 Freedom Drive Dr Unit C Calabasas 91302,,,,
14134,59632,,,,4341.0,,,,,,Freedom,Drive,,,,,,,,,,,Unit,A,91302.0,,Calabasas,Calabasas,Hidden Hills,,,,Office of Assessor,{9328450E-4BBE-455C-8D18-BC3D9023E578},0,,9328450E-4BBE-455C-8D18-BC3D9023E578,Unknown,,,,,Dr,Freedom Dr,2024/05/12 21:05:27+00,4341 Freedom Dr Unit A Calabasas 91302,9328450E-4BBE-455C-8D18-BC3D9023E578_4341_Freedom_Dr_Unit_A_Calabasas_91302,Freedom,4341 Freedom Drive Dr Unit A Calabasas 91302,,,,
14260,62195,,,,4437.0,,,,Park,,Arroyo,,,,,,,,,,,,,,91302.0,,Calabasas,Calabasas,Hidden Hills,,,,Office of Assessor,{979A7EEB-ECAC-48CA-BCB0-E86A41B3681D},0,,979A7EEB-ECAC-48CA-BCB0-E86A41B3681D,Unknown,,,,Pk,,Park Arroyo,2024/05/12 21:05:27+00,4437 Park Arroyo Calabasas 91302,979A7EEB-ECAC-48CA-BCB0-E86A41B3681D_4437_Park_Arroyo_Calabasas_91302,Park Arroyo,4437 Park Arroyo Calabasas 91302,,,,
14277,62469,,,,4433.0,,,,Park,,Arroyo,,,,,,,,,,,,,,91302.0,,Calabasas,Calabasas,Hidden Hills,,,,Office of Assessor,{BE06DD87-CD1F-4FF4-958C-48B228BB521A},0,,BE06DD87-CD1F-4FF4-958C-48B228BB521A,Unknown,,,,Pk,,Park Arroyo,2024/05/12 21:05:27+00,4433 Park Arroyo Calabasas 91302,BE06DD87-CD1F-4FF4-958C-48B228BB521A_4433_Park_Arroyo_Calabasas_91302,Park Arroyo,4433 Park Arroyo Calabasas 91302,,,,
14301,62913,,,,23041.0,,,,Park,,Dulce,,,,,,,,,,,,Unit,88,91302.0,,Calabasas,Calabasas,Hidden Hills,,,,Office of Assessor,{119E9468-7F49-44F5-A4FB-2833684BA4EB},0,,119E9468-7F49-44F5-A4FB-2833684BA4EB,Unknown,,,,Pk,,Park Dulce,2024/05/12 21:05:27+00,23041 Park Dulce Unit 88 Calabasas 91302,119E9468-7F49-44F5-A4FB-2833684BA4EB_23041_Park_Dulce_Unit_88_Calabasas_91302,Park Dulce,23041 Park Dulce Unit 88 Calabasas 91302,,,,
14353,64088,,,,23034.0,,,West,Park,,Privado,,,,,,,,,,,,Unit,78,91302.0,,Calabasas,Calabasas,Hidden Hills,,,,Office of Assessor,{98468706-6C58-48A1-9028-67D77D92B56B},0,,98468706-6C58-48A1-9028-67D77D92B56B,Unknown,,W,,Pk,,W Park Privado,2024/05/12 21:05:27+00,23034 W Park Privado Unit 78 Calabasas 91302,98468706-6C58-48A1-9028-67D77D92B56B_23034_W_Park_Privado_Unit_78_Calabasas_91302,Park Privado,23034 W Park Privado Unit 78 Calabasas 91302,,,,
14366,64286,,,,23048.0,,,West,Park,,Privado,,,,,,,,,,,,Unit,81,91302.0,,Calabasas,Calabasas,Hidden Hills,,,,Office of Assessor,{A497BA8C-495A-4331-85EF-7A59E19E2FE2},0,,A497BA8C-495A-4331-85EF-7A59E19E2FE2,Unknown,,W,,Pk,,W Park Privado,2024/05/12 21:05:27+00,23048 W Park Privado Unit 81 Calabasas 91302,A497BA8C-495A-4331-85EF-7A59E19E2FE2_23048_W_Park_Privado_Unit_81_Calabasas_91302,Park Privado,23048 W Park Privado Unit 81 Calabasas 91302,,,,
14391,64744,,,,23052.0,,,West,Park,,Privado,,,,,,,,,,,,Unit,82,91302.0,,Calabasas,Calabasas,Hidden Hills,,,,Office of Assessor,{9D75F6F8-FBAB-4713-BFA8-66019C334A18},0,,9D75F6F8-FBAB-4713-BFA8-66019C334A18,Unknown,,W,,Pk,,W Park Privado,2024/05/12 21:05:27+00,23052 W Park Privado Unit 82 Calabasas 91302,9D75F6F8-FBAB-4713-BFA8-66019C334A18_23052_W_Park_Privado_Unit_82_Calabasas_91302,Park Privado,23052 W Park Privado Unit 82 Calabasas 91302,,,,
14422,65495,,,,4469.0,,,,Park,,Arroyo,,,,,,,,,,,,,,91302.0,,Calabasas,Calabasas,Hidden Hills,,,,Office of Assessor,{3DB27894-251C-4D95-8769-1D4CC7730300},0,,3DB27894-251C-4D95-8769-1D4CC7730300,Unknown,,,,Pk,,Park Arroyo,2024/05/12 21:05:27+00,4469 Park Arroyo Calabasas 91302,3DB27894-251C-4D95-8769-1D4CC7730300_4469_Park_Arroyo_Calabasas_91302,Park Arroyo,4469 Park Arroyo Calabasas 91302,,,,
14499,67202,,,,4347.0,,,,,,Freedom,Drive,,,,,,,,,,,Unit,C,91302.0,,Calabasas,Calabasas,Hidden Hills,,,,Office of Assessor,{8ADF0B6D-E1BC-4109-9E14-00E9B8EA250A},0,,8ADF0B6D-E1BC-4109-9E14-00E9B8EA250A,Unknown,,,,,Dr,Freedom Dr,2024/05/12 21:05:27+00,4347 Freedom Dr Unit C Calabasas 91302,8ADF0B6D-E1BC-4109-9E14-00E9B8EA250A_4347_Freedom_Dr_Unit_C_Calabasas_91302,Freedom,4347 Freedom Drive Dr Unit C Calabasas 91302,,,,
14552,68287,,,,23051.0,,,,Park,,Dulce,,,,,,,,,,,,,,91302.0,,Calabasas,Calabasas,Hidden Hills,,,,Office of Assessor,{1841E833-4B8C-4D3F-A43A-D958BEDA2DDE},0,,1841E833-4B8C-4D3F-A43A-D958BEDA2DDE,Unknown,,,,Pk,,Park Dulce,2024/05/12 21:05:27+00,23051 Park Dulce Calabasas 91302,1841E833-4B8C-4D3F-A43A-D958BEDA2DDE_23051_Park_Dulce_Calabasas_91302,Park Dulce,23051 Park Dulce Calabasas 91302,,,,
14576,68709,,,,4345.0,,,,,,Freedom,Drive,,,,,,,,,,,Unit,C,91302.0,,Calabasas,Calabasas,Hidden Hills,,,,Office of Assessor,{1115FEFA-EDB0-4510-A4A0-9D166A74112D},0,,1115FEFA-EDB0-4510-A4A0-9D166A74112D,Unknown,,,,,Dr,Freedom Dr,2024/05/12 21:05:27+00,4345 Freedom Dr Unit C Calabasas 91302,1115FEFA-EDB0-4510-A4A0-9D166A74112D_4345_Freedom_Dr_Unit_C_Calabasas_91302,Freedom,4345 Freedom Drive Dr Unit C Calabasas 91302,,,,
