fid,OBJECTID,OBJIDstr,AIN,NumPrefix,Number,NumSuffix,PreMod,PreDir,PreType,StArticle,StreetName,PostType,PostDir,PostMod,BldgID,BldgSource,BldgTypePl,BldgType,BldgName,FlrTypePl,FlrType,FlrName,UnitType,UnitName,ZipCode,Zip4,LegalComm,PostComm1,PostComm2,PostComm3,OtherComm1,OtherComm2,Source,SourceID,MADRank,AROIDstr,OIDstr,PropType,ObjID,PreDirAbbr,PostDirAbbr,PreTypeAbbr,PostTypeAbbr,FullName,UpdateDate,FullAddress,UniqueID,StName_EnerGov,FullAddress_EnerGov,MSAG_City,ESN,lon,lat
106,155,,,,8520.0,U,,,,,Lou Dillon,Avenue,,,,,,,,,,,,,90002.0,,Unincorporated,Los Angeles,,,,,CAMS,{D9036101-610D-4E06-947E-70D9D173C7C1},0,,D9036101-610D-4E06-947E-70D9D173C7C1,Utility,,,,,Ave,Lou Dillon Ave,2024/07/17 18:16:05+00,8520 U Lou Dillon Ave Los Angeles 90002,D9036101-610D-4E06-947E-70D9D173C7C1_8520_U_Lou_Dillon_Ave_Los_Angeles_90002,Lou Dillon,8520 U Lou Dillon Avenue Ave Los Angeles 90002,,,,
925,1488,,,,8615.0,,,,,,Graham,Avenue,,,,,,,,,,,,,90002.0,,Unincorporated,Los Angeles,,,,,LACO DPW Add,{6B2AF6FB-80B3-4525-864E-C342B626516F},0,,6B2AF6FB-80B3-4525-864E-C342B626516F,Unknown,,,,,Ave,Graham Ave,2016/01/20 12:58:40+00,8615 Graham Ave Los Angeles 90002,6B2AF6FB-80B3-4525-864E-C342B626516F_8615_Graham_Ave_Los_Angeles_90002,Graham,8615 Graham Avenue Ave Los Angeles 90002,,,,
1195,1945,,,,9102.0,U,,,,,Hooper,Avenue,,,,,,,,,,,,,90002.0,,Unincorporated,Los Angeles,,,,,LACO DPW Add,{6AF0A140-50AA-43CE-BBB6-7A964F706246},0,,6AF0A140-50AA-43CE-BBB6-7A964F706246,Utility,,,,,Ave,Hooper Ave,2024/07/17 18:16:05+00,9102 U Hooper Ave Los Angeles 90002,6AF0A140-50AA-43CE-BBB6-7A964F706246_9102_U_Hooper_Ave_Los_Angeles_90002,Hooper,9102 U Hooper Avenue Ave Los Angeles 90002,,,,
1350,2185,,,,1418.0,U,,East,,,96th,Street,,,,,,,,,,,,,90002.0,,Unincorporated,Los Angeles,,,,,LACO DPW Add,{CC1B22CD-0B7E-40D8-BE30-0948B16D22DF},0,,CC1B22CD-0B7E-40D8-BE30-0948B16D22DF,Utility,,E,,,St,E 96th St,2024/07/17 18:16:05+00,1418 U E 96th St Los Angeles 90002,CC1B22CD-0B7E-40D8-BE30-0948B16D22DF_1418_U_E_96th_St_Los_Angeles_90002,96th,1418 U E 96th Street St Los Angeles 90002,,,,
1368,2219,,,,1214.0,U,,East,,,103rd,Street,,,,,,,,,,,,,90002.0,,Unincorporated,Los Angeles,,,,,LACO DPW Add,{D5C35A96-B955-4ACB-B572-4F3B68B4A9B6},0,,D5C35A96-B955-4ACB-B572-4F3B68B4A9B6,Utility,,E,,,St,E 103rd St,2024/07/17 18:16:05+00,1214 U E 103rd St Los Angeles 90002,D5C35A96-B955-4ACB-B572-4F3B68B4A9B6_1214_U_E_103rd_St_Los_Angeles_90002,103rd,1214 U E 103rd Street St Los Angeles 90002,,,,
1783,2912,,,,1210.0,U,,East,,,87th,Place,,,,,,,,,,,,,90002.0,,Unincorporated,Los Angeles,,,,,LACO DPW Add,{ACC1DA9C-161E-4E94-8137-3B6CD124397B},0,,ACC1DA9C-161E-4E94-8137-3B6CD124397B,Utility,,E,,,Pl,E 87th Pl,2024/07/17 18:16:05+00,1210 U E 87th Pl Los Angeles 90002,ACC1DA9C-161E-4E94-8137-3B6CD124397B_1210_U_E_87th_Pl_Los_Angeles_90002,87th,1210 U E 87th Place Pl Los Angeles 90002,,,,
3667,6031,,,,1509.0,U,,East,,,89th,Street,,,,,,,,,,,,,90002.0,,Unincorporated,Los Angeles,,,,,LACO DPW Add,{CB5ACF9E-5255-49D7-93BF-0F8A14E8B6FA},0,,CB5ACF9E-5255-49D7-93BF-0F8A14E8B6FA,Utility,,E,,,St,E 89th St,2024/07/17 18:16:05+00,1509 U E 89th St Los Angeles 90002,CB5ACF9E-5255-49D7-93BF-0F8A14E8B6FA_1509_U_E_89th_St_Los_Angeles_90002,89th,1509 U E 89th Street St Los Angeles 90002,,,,
7015,11468,,,,2121.0,U,,East,,,87th,Street,,,,,,,,,,,,,90002.0,,Unincorporated,Los Angeles,,,,,LACO DPW Add,{376E9CB4-C8A1-4D2B-B9DD-1AC8FE456774},0,,376E9CB4-C8A1-4D2B-B9DD-1AC8FE456774,Utility,,E,,,St,E 87th St,2024/07/17 18:16:05+00,2121 U E 87th St Los Angeles 90002,376E9CB4-C8A1-4D2B-B9DD-1AC8FE456774_2121_U_E_87th_St_Los_Angeles_90002,87th,2121 U E 87th Street St Los Angeles 90002,,,,
7455,12179,,,,1512.0,U,,East,,,87th,Place,,,,,,,,,,,,,90002.0,,Unincorporated,Los Angeles,,,,,LACO DPW Add,{BB4210EE-81C7-4596-BFA2-CBAC88132938},0,,BB4210EE-81C7-4596-BFA2-CBAC88132938,Utility,,E,,,Pl,E 87th Pl,2024/07/17 18:16:05+00,1512 U E 87th Pl Los Angeles 90002,BB4210EE-81C7-4596-BFA2-CBAC88132938_1512_U_E_87th_Pl_Los_Angeles_90002,87th,1512 U E 87th Place Pl Los Angeles 90002,,,,
7513,12260,,,,1425.0,U,,East,,,92nd,Street,,,,,,,,,,,,,90002.0,,Unincorporated,Los Angeles,,,,,LACO DPW Add,{E30F09F6-5CF0-4F92-A347-AE2531FF8468},0,,E30F09F6-5CF0-4F92-A347-AE2531FF8468,Unknown,,E,,,St,E 92nd St,2024/07/17 18:16:05+00,1425 U E 92nd St Los Angeles 90002,E30F09F6-5CF0-4F92-A347-AE2531FF8468_1425_U_E_92nd_St_Los_Angeles_90002,92nd,1425 U E 92nd Street St Los Angeles 90002,,,,
