fid,OBJECTID,OBJIDstr,AIN,NumPrefix,Number,NumSuffix,PreMod,PreDir,PreType,StArticle,StreetName,PostType,PostDir,PostMod,BldgID,BldgSource,BldgTypePl,BldgType,BldgName,FlrTypePl,FlrType,FlrName,UnitType,UnitName,ZipCode,Zip4,LegalComm,PostComm1,PostComm2,PostComm3,OtherComm1,OtherComm2,Source,SourceID,MADRank,AROIDstr,OIDstr,PropType,ObjID,PreDirAbbr,PostDirAbbr,PreTypeAbbr,PostTypeAbbr,FullName,UpdateDate,FullAddress,UniqueID,StName_EnerGov,FullAddress_EnerGov,MSAG_City,ESN,lon,lat
13551,53898,,,,6343.0,,,North,,,Figueroa,Street,,,,,,,,,,,,,90042.0,,Los Angeles,Los Angeles,,,,,LA City,{814D09C1-90E3-41F6-8646-5E6E2DFBBDD9},0,,814D09C1-90E3-41F6-8646-5E6E2DFBBDD9,Unknown,,N,,,St,N Figueroa St,2023/09/12 23:03:18+00,6343 N Figueroa St Los Angeles 90042,814D09C1-90E3-41F6-8646-5E6E2DFBBDD9_6343_N_Figueroa_St_Los_Angeles_90042,Figueroa,6343 N Figueroa Street St Los Angeles 90042,,,,
13793,54190,,,,330.0,,,South,Avenue,,52,,,,,,,,,,,,,,90042.0,,Los Angeles,Los Angeles,,,,,LA City,{86E29ED7-76B6-4924-A484-587074E14D25},0,,86E29ED7-76B6-4924-A484-587074E14D25,Unknown,,S,,Ave,,S Ave 52,2023/09/12 23:03:18+00,330 S Ave 52 Los Angeles 90042,86E29ED7-76B6-4924-A484-587074E14D25_330_S_Ave_52_Los_Angeles_90042,Avenue 52,330 S Avenue 52 Los Angeles 90042,,,,
739355,1341128,,5301001901.0,,5566.0,,,East,Via,,Marisol,,,,,,,,,,,,,,90042.0,,Los Angeles,Los Angeles,,,,,LA City,{CBAC7098-E732-47F8-9DBC-17C20D6E1C40},0,,CBAC7098-E732-47F8-9DBC-17C20D6E1C40,Unknown,,E,,Via,,E Via Marisol,2023/09/12 23:03:18+00,5566 E Via Marisol Los Angeles 90042,CBAC7098-E732-47F8-9DBC-17C20D6E1C40_5566_E_Via_Marisol_Los_Angeles_90042,Via Marisol,5566 E Via Marisol Los Angeles 90042,,,,
739356,1341129,,5301001901.0,,5829.0,,,East,Via,,Marisol,,,,,,,,,,,,,,90042.0,,Los Angeles,Los Angeles,,,,,LA City,{F824138B-79C1-4694-8DDC-3CEE8AD8B8ED},0,,F824138B-79C1-4694-8DDC-3CEE8AD8B8ED,Unknown,,E,,Via,,E Via Marisol,2023/09/12 23:03:18+00,5829 E Via Marisol Los Angeles 90042,F824138B-79C1-4694-8DDC-3CEE8AD8B8ED_5829_E_Via_Marisol_Los_Angeles_90042,Via Marisol,5829 E Via Marisol Los Angeles 90042,,,,
739357,1341130,,5301001901.0,,5568.0,,,East,Via,,Marisol,,,,,,,,,,,,,,90042.0,,Los Angeles,Los Angeles,,,,,LA City,{DCAD9E4B-B051-4629-840E-E5E1BAA38C17},0,,DCAD9E4B-B051-4629-840E-E5E1BAA38C17,Unknown,,E,,Via,,E Via Marisol,2023/09/12 23:03:18+00,5568 E Via Marisol Los Angeles 90042,DCAD9E4B-B051-4629-840E-E5E1BAA38C17_5568_E_Via_Marisol_Los_Angeles_90042,Via Marisol,5568 E Via Marisol Los Angeles 90042,,,,
739358,1341131,,5301002901.0,,5681.0,,,East,Via,,Marisol,,,,,,,,,,,,,,90042.0,,Los Angeles,Los Angeles,,,,,LA City,{75B325B9-0CE4-4645-B99A-875160AFDE42},0,,75B325B9-0CE4-4645-B99A-875160AFDE42,Unknown,,E,,Via,,E Via Marisol,2023/09/12 23:03:18+00,5681 E Via Marisol Los Angeles 90042,75B325B9-0CE4-4645-B99A-875160AFDE42_5681_E_Via_Marisol_Los_Angeles_90042,Via Marisol,5681 E Via Marisol Los Angeles 90042,,,,
739359,1341132,,5301002901.0,,5601.0,,,East,Via,,Marisol,,,,,,,,,,,,,,90042.0,,Los Angeles,Los Angeles,,,,,LA City,{7B6D82E1-7939-4342-9947-58BEE75F9A62},0,,7B6D82E1-7939-4342-9947-58BEE75F9A62,Unknown,,E,,Via,,E Via Marisol,2023/09/12 23:03:18+00,5601 E Via Marisol Los Angeles 90042,7B6D82E1-7939-4342-9947-58BEE75F9A62_5601_E_Via_Marisol_Los_Angeles_90042,Via Marisol,5601 E Via Marisol Los Angeles 90042,,,,
739360,1341133,,5301002901.0,,5671.0,,,East,Via,,Marisol,,,,,,,,,,,,,,90042.0,,Los Angeles,Los Angeles,,,,,LA City,{45AC2B5C-581B-4FC0-85AB-22F0167D37A8},0,,45AC2B5C-581B-4FC0-85AB-22F0167D37A8,Unknown,,E,,Via,,E Via Marisol,2023/09/12 23:03:18+00,5671 E Via Marisol Los Angeles 90042,45AC2B5C-581B-4FC0-85AB-22F0167D37A8_5671_E_Via_Marisol_Los_Angeles_90042,Via Marisol,5671 E Via Marisol Los Angeles 90042,,,,
739361,1341134,,5301003005.0,,4862.0,,,North,Via,,Colina,,,,,,,,,,,,,,90042.0,,Los Angeles,Los Angeles,,,,,LA City,{114CF9D5-A695-4CC7-92B1-77AC080DA74E},0,,114CF9D5-A695-4CC7-92B1-77AC080DA74E,Unknown,,N,,Via,,N Via Colina,2023/09/12 23:03:18+00,4862 N Via Colina Los Angeles 90042,114CF9D5-A695-4CC7-92B1-77AC080DA74E_4862_N_Via_Colina_Los_Angeles_90042,Via Colina,4862 N Via Colina Los Angeles 90042,,,,
739362,1341135,,5301003005.0,,4850.0,,,North,Via,,Colina,,,,,,,,,,,,,,90042.0,,Los Angeles,Los Angeles,,,,,LA City,{82C42993-A6C4-44C8-9FBC-0AFA0D3612D2},0,,82C42993-A6C4-44C8-9FBC-0AFA0D3612D2,Unknown,,N,,Via,,N Via Colina,2023/09/12 23:03:18+00,4850 N Via Colina Los Angeles 90042,82C42993-A6C4-44C8-9FBC-0AFA0D3612D2_4850_N_Via_Colina_Los_Angeles_90042,Via Colina,4850 N Via Colina Los Angeles 90042,,,,
