fid,OBJECTID,OBJIDstr,AIN,NumPrefix,Number,NumSuffix,PreMod,PreDir,PreType,StArticle,StreetName,PostType,PostDir,PostMod,BldgID,BldgSource,BldgTypePl,BldgType,BldgName,FlrTypePl,FlrType,FlrName,UnitType,UnitName,ZipCode,Zip4,LegalComm,PostComm1,PostComm2,PostComm3,OtherComm1,OtherComm2,Source,SourceID,MADRank,AROIDstr,OIDstr,PropType,ObjID,PreDirAbbr,PostDirAbbr,PreTypeAbbr,PostTypeAbbr,FullName,UpdateDate,FullAddress,UniqueID,StName_EnerGov,FullAddress_EnerGov,MSAG_City,ESN,lon,lat
13187,43805,,,,1101.0,,,,,,Maclay,Avenue,,,,,,,,,,,,,91340.0,,San Fernando,San Fernando,,,,,Office of Assessor,{4B657EAE-F4B6-4ECC-9418-90FD45BFF48A},0,,4B657EAE-F4B6-4ECC-9418-90FD45BFF48A,Unknown,,,,,Ave,Maclay Ave,2015/04/03 12:08:04+00,1101 Maclay Ave San Fernando 91340,4B657EAE-F4B6-4ECC-9418-90FD45BFF48A_1101_Maclay_Ave_San_Fernando_91340,Maclay,1101 Maclay Avenue Ave San Fernando 91340,,,,
13392,49496,,,,1075.0,,,,,,Maclay,Avenue,,,,,,,,,,,,,91340.0,,San Fernando,San Fernando,,,,,Office of Assessor,{EB3D0117-0CA1-4AE1-A38F-6DF555C46CCE},0,,EB3D0117-0CA1-4AE1-A38F-6DF555C46CCE,Unknown,,,,,Ave,Maclay Ave,2015/04/03 12:23:46+00,1075 Maclay Ave San Fernando 91340,EB3D0117-0CA1-4AE1-A38F-6DF555C46CCE_1075_Maclay_Ave_San_Fernando_91340,Maclay,1075 Maclay Avenue Ave San Fernando 91340,,,,
13878,54662,,,,1926.0,,,,,,Lucas,Street,,,,,,,,,,,Unit,3,91340.0,,San Fernando,San Fernando,,,,,Office of Assessor,{7E4C4A5B-B3A9-45E7-91C8-38F4955D6A6F},0,,7E4C4A5B-B3A9-45E7-91C8-38F4955D6A6F,Unknown,,,,,St,Lucas St,2024/05/12 21:05:27+00,1926 Lucas St Unit 3 San Fernando 91340,7E4C4A5B-B3A9-45E7-91C8-38F4955D6A6F_1926_Lucas_St_Unit_3_San_Fernando_91340,Lucas,1926 Lucas Street St Unit 3 San Fernando 91340,,,,
13885,54714,,,,1917.0,,,,,,Glenoaks,Boulevard,,,,,,,,,,,Unit,203,91340.0,,San Fernando,San Fernando,,,,,Office of Assessor,{832ADE08-CBB1-43AF-B922-020112B787EC},0,,832ADE08-CBB1-43AF-B922-020112B787EC,Unknown,,,,,Blvd,Glenoaks Blvd,2024/05/12 21:05:27+00,1917 Glenoaks Blvd Unit 203 San Fernando 91340,832ADE08-CBB1-43AF-B922-020112B787EC_1917_Glenoaks_Blvd_Unit_203_San_Fernando_91340,Glenoaks,1917 Glenoaks Boulevard Blvd Unit 203 San Fernando 91340,,,,
13896,54957,,,,1937.0,,,,,,Glenoaks,Boulevard,,,,,,,,,,,Unit,153,91340.0,,San Fernando,San Fernando,,,,,Office of Assessor,{953D3F3C-87E5-4B27-B71C-D445C0E85FA7},0,,953D3F3C-87E5-4B27-B71C-D445C0E85FA7,Unknown,,,,,Blvd,Glenoaks Blvd,2024/05/12 21:05:27+00,1937 Glenoaks Blvd Unit 153 San Fernando 91340,953D3F3C-87E5-4B27-B71C-D445C0E85FA7_1937_Glenoaks_Blvd_Unit_153_San_Fernando_91340,Glenoaks,1937 Glenoaks Boulevard Blvd Unit 153 San Fernando 91340,,,,
13901,55079,,,,1933.0,,,,,,Glenoaks,Boulevard,,,,,,,,,,,Unit,128,91340.0,,San Fernando,San Fernando,,,,,Office of Assessor,{16E2700C-5A9E-49AC-ADBD-66255B20DBCF},0,,16E2700C-5A9E-49AC-ADBD-66255B20DBCF,Unknown,,,,,Blvd,Glenoaks Blvd,2024/05/12 21:05:27+00,1933 Glenoaks Blvd Unit 128 San Fernando 91340,16E2700C-5A9E-49AC-ADBD-66255B20DBCF_1933_Glenoaks_Blvd_Unit_128_San_Fernando_91340,Glenoaks,1933 Glenoaks Boulevard Blvd Unit 128 San Fernando 91340,,,,
13912,55316,,,,1909.0,,,,,,Glenoaks,Boulevard,,,,,,,,,,,Unit,159,91340.0,,San Fernando,San Fernando,,,,,Office of Assessor,{7B7088A0-238A-4CB2-9D55-A3959652887C},0,,7B7088A0-238A-4CB2-9D55-A3959652887C,Unknown,,,,,Blvd,Glenoaks Blvd,2024/05/12 21:05:27+00,1909 Glenoaks Blvd Unit 159 San Fernando 91340,7B7088A0-238A-4CB2-9D55-A3959652887C_1909_Glenoaks_Blvd_Unit_159_San_Fernando_91340,Glenoaks,1909 Glenoaks Boulevard Blvd Unit 159 San Fernando 91340,,,,
13916,55385,,,,1945.0,,,,,,Glenoaks,Boulevard,,,,,,,,,,,Unit,107,91340.0,,San Fernando,San Fernando,,,,,Office of Assessor,{468A48E7-BBFC-4295-BCED-3DEA8C5E73F2},0,,468A48E7-BBFC-4295-BCED-3DEA8C5E73F2,Unknown,,,,,Blvd,Glenoaks Blvd,2024/05/12 21:05:27+00,1945 Glenoaks Blvd Unit 107 San Fernando 91340,468A48E7-BBFC-4295-BCED-3DEA8C5E73F2_1945_Glenoaks_Blvd_Unit_107_San_Fernando_91340,Glenoaks,1945 Glenoaks Boulevard Blvd Unit 107 San Fernando 91340,,,,
13944,55779,,,,1909.0,,,,,,Glenoaks,Boulevard,,,,,,,,,,,Unit,158,91340.0,,San Fernando,San Fernando,,,,,Office of Assessor,{4F39B7D8-C264-4117-B6DF-727189AFAB11},0,,4F39B7D8-C264-4117-B6DF-727189AFAB11,Unknown,,,,,Blvd,Glenoaks Blvd,2024/05/12 21:05:27+00,1909 Glenoaks Blvd Unit 158 San Fernando 91340,4F39B7D8-C264-4117-B6DF-727189AFAB11_1909_Glenoaks_Blvd_Unit_158_San_Fernando_91340,Glenoaks,1909 Glenoaks Boulevard Blvd Unit 158 San Fernando 91340,,,,
13951,55905,,,,1917.0,,,,,,Glenoaks,Boulevard,,,,,,,,,,,Unit,202,91340.0,,San Fernando,San Fernando,,,,,Office of Assessor,{D4B73A9D-E069-48B0-B6AF-487FF3BE4660},0,,D4B73A9D-E069-48B0-B6AF-487FF3BE4660,Unknown,,,,,Blvd,Glenoaks Blvd,2024/05/12 21:05:27+00,1917 Glenoaks Blvd Unit 202 San Fernando 91340,D4B73A9D-E069-48B0-B6AF-487FF3BE4660_1917_Glenoaks_Blvd_Unit_202_San_Fernando_91340,Glenoaks,1917 Glenoaks Boulevard Blvd Unit 202 San Fernando 91340,,,,
