fid,OBJECTID,OBJIDstr,AIN,NumPrefix,Number,NumSuffix,PreMod,PreDir,PreType,StArticle,StreetName,PostType,PostDir,PostMod,BldgID,BldgSource,BldgTypePl,BldgType,BldgName,FlrTypePl,FlrType,FlrName,UnitType,UnitName,ZipCode,Zip4,LegalComm,PostComm1,PostComm2,PostComm3,OtherComm1,OtherComm2,Source,SourceID,MADRank,AROIDstr,OIDstr,PropType,ObjID,PreDirAbbr,PostDirAbbr,PreTypeAbbr,PostTypeAbbr,FullName,UpdateDate,FullAddress,UniqueID,StName_EnerGov,FullAddress_EnerGov,MSAG_City,ESN,lon,lat
64,96,,,,7454.0,,,,,,Verano,Way,,,,,,,,,,,,,90255.0,,Unincorporated,Huntington Park,Walnut Park,,,,LACO DPW House Numbering Map,{380D8069-9B3A-49B2-A590-D7B9EF5AA8D6},0,,380D8069-9B3A-49B2-A590-D7B9EF5AA8D6,Unknown,,,,,Wy,Verano Wy,2018/03/31 12:50:33+00,7454 Verano Wy Huntington Park 90255,380D8069-9B3A-49B2-A590-D7B9EF5AA8D6_7454_Verano_Wy_Huntington_Park_90255,Verano,7454 Verano Way Wy Huntington Park 90255,,,,
99,145,,,,7322.0,U,,,,,Seville,Avenue,,,,,,,,,,,,,90255.0,,Unincorporated,Huntington Park,Walnut Park,,,,LACO DPW Add,{99D0E2FF-5071-4147-A811-4BDDEB0018EE},0,,99D0E2FF-5071-4147-A811-4BDDEB0018EE,Utility,,,,,Ave,Seville Ave,2024/07/17 18:16:05+00,7322 U Seville Ave Huntington Park 90255,99D0E2FF-5071-4147-A811-4BDDEB0018EE_7322_U_Seville_Ave_Huntington_Park_90255,Seville,7322 U Seville Avenue Ave Huntington Park 90255,,,,
198,305,,,,7501.0,,,,,,Marbrisa,Avenue,,,,,,,,,,,,,90255.0,,Unincorporated,Huntington Park,Walnut Park,,,,LACO DPW House Numbering Map,{C45102E3-EC4D-4B67-8F81-9199148FCFA0},0,,C45102E3-EC4D-4B67-8F81-9199148FCFA0,Unknown,,,,,Ave,Marbrisa Ave,2021/08/31 17:00:41+00,7501 Marbrisa Ave Huntington Park 90255,C45102E3-EC4D-4B67-8F81-9199148FCFA0_7501_Marbrisa_Ave_Huntington_Park_90255,Marbrisa,7501 Marbrisa Avenue Ave Huntington Park 90255,,,,
309,483,,,,2222.0,U,,East,,,Florence,Avenue,,,,,,,,,,,,,90255.0,,Unincorporated,Huntington Park,Walnut Park,,,,LACO DPW Add,{AC935F7D-AE7E-41D9-9A90-6D1AD6D4C6CF},0,,AC935F7D-AE7E-41D9-9A90-6D1AD6D4C6CF,Utility,,E,,,Ave,E Florence Ave,2024/07/17 18:16:05+00,2222 U E Florence Ave Huntington Park 90255,AC935F7D-AE7E-41D9-9A90-6D1AD6D4C6CF_2222_U_E_Florence_Ave_Huntington_Park_90255,Florence,2222 U E Florence Avenue Ave Huntington Park 90255,,,,
594,947,,,,2664.0,U,,East,,,Florence,Avenue,,,,,,,,,,,,,90255.0,,Unincorporated,Huntington Park,Walnut Park,,,,LACO DPW Add,{868CFC26-CAB4-4412-9A61-13205DC39108},0,,868CFC26-CAB4-4412-9A61-13205DC39108,Utility,,E,,,Ave,E Florence Ave,2024/07/17 18:16:05+00,2664 U E Florence Ave Huntington Park 90255,868CFC26-CAB4-4412-9A61-13205DC39108_2664_U_E_Florence_Ave_Huntington_Park_90255,Florence,2664 U E Florence Avenue Ave Huntington Park 90255,,,,
681,1088,,,,7503.0,,,,,,Marbrisa,Avenue,,,,,,,,,,,,,90255.0,,Unincorporated,Huntington Park,Walnut Park,,,,LACO DPW House Numbering Map,{5B71D682-5278-44CC-8297-6CE8958904EF},0,,5B71D682-5278-44CC-8297-6CE8958904EF,Unknown,,,,,Ave,Marbrisa Ave,2021/08/31 17:00:41+00,7503 Marbrisa Ave Huntington Park 90255,5B71D682-5278-44CC-8297-6CE8958904EF_7503_Marbrisa_Ave_Huntington_Park_90255,Marbrisa,7503 Marbrisa Avenue Ave Huntington Park 90255,,,,
869,1410,,,,7832.0,U,,,,,Santa Fe,Avenue,,,,,,,,,,,,,90255.0,,Unincorporated,Huntington Park,Walnut Park,,,,CAMS,{295C6750-353F-4A35-93AB-00265D6B7F83},0,,295C6750-353F-4A35-93AB-00265D6B7F83,Utility,,,,,Ave,Santa Fe Ave,2024/07/17 18:16:05+00,7832 U Santa Fe Ave Huntington Park 90255,295C6750-353F-4A35-93AB-00265D6B7F83_7832_U_Santa_Fe_Ave_Huntington_Park_90255,Santa Fe,7832 U Santa Fe Avenue Ave Huntington Park 90255,,,,
1106,1771,,,,7924.0,U,,,,,Santa Fe,Avenue,,,,,,,,,,,,,90255.0,,Unincorporated,Huntington Park,Walnut Park,,,,LACO DPW Add,{F4314EC7-C5E6-428F-9627-804253DB8E21},0,,F4314EC7-C5E6-428F-9627-804253DB8E21,Utility,,,,,Ave,Santa Fe Ave,2024/07/17 18:16:05+00,7924 U Santa Fe Ave Huntington Park 90255,F4314EC7-C5E6-428F-9627-804253DB8E21_7924_U_Santa_Fe_Ave_Huntington_Park_90255,Santa Fe,7924 U Santa Fe Avenue Ave Huntington Park 90255,,,,
1678,2727,,,,7448.0,,,,,,Verano,Way,,,,,,,,,,,,,90255.0,,Unincorporated,Huntington Park,Walnut Park,,,,LACO DPW House Numbering Map,{201ACD5D-135A-400B-BC50-E65A2D19C2B3},0,,201ACD5D-135A-400B-BC50-E65A2D19C2B3,Unknown,,,,,Wy,Verano Wy,2018/03/31 12:50:33+00,7448 Verano Wy Huntington Park 90255,201ACD5D-135A-400B-BC50-E65A2D19C2B3_7448_Verano_Wy_Huntington_Park_90255,Verano,7448 Verano Way Wy Huntington Park 90255,,,,
1690,2746,,,,7514.0,,,,,,Verano,Way,,,,,,,,,,,,,90255.0,,Unincorporated,Huntington Park,Walnut Park,,,,LACO DPW House Numbering Map,{9F0B7CF8-FA63-4F16-8388-C9ECC173A829},0,,9F0B7CF8-FA63-4F16-8388-C9ECC173A829,Unknown,,,,,Wy,Verano Wy,2018/03/31 12:49:08+00,7514 Verano Wy Huntington Park 90255,9F0B7CF8-FA63-4F16-8388-C9ECC173A829_7514_Verano_Wy_Huntington_Park_90255,Verano,7514 Verano Way Wy Huntington Park 90255,,,,
