fid,OBJECTID,OBJIDstr,AIN,NumPrefix,Number,NumSuffix,PreMod,PreDir,PreType,StArticle,StreetName,PostType,PostDir,PostMod,BldgID,BldgSource,BldgTypePl,BldgType,BldgName,FlrTypePl,FlrType,FlrName,UnitType,UnitName,ZipCode,Zip4,LegalComm,PostComm1,PostComm2,PostComm3,OtherComm1,OtherComm2,Source,SourceID,MADRank,AROIDstr,OIDstr,PropType,ObjID,PreDirAbbr,PostDirAbbr,PreTypeAbbr,PostTypeAbbr,FullName,UpdateDate,FullAddress,UniqueID,StName_EnerGov,FullAddress_EnerGov,MSAG_City,ESN,lon,lat
65959,240989,,2123016001.0,,18048.0,,,West,,,Duncan,Street,,,,,,,,,,,,,91316.0,,Los Angeles,Encino,,,,,LA City,{0F88BF12-7741-480D-BBCE-280A585E4E35},0,,0F88BF12-7741-480D-BBCE-280A585E4E35,Unknown,,W,,,St,W Duncan St,2023/09/12 23:03:18+00,18048 W Duncan St Encino 91316,0F88BF12-7741-480D-BBCE-280A585E4E35_18048_W_Duncan_St_Encino_91316,Duncan,18048 W Duncan Street St Los Angeles 91316,,,,
65960,240990,,2123016002.0,,18042.0,,,West,,,Duncan,Street,,,,,,,,,,,,,91316.0,,Los Angeles,Encino,,,,,LA City,{46DE5B55-A312-4534-B2EE-1129701858A5},0,,46DE5B55-A312-4534-B2EE-1129701858A5,Unknown,,W,,,St,W Duncan St,2023/09/12 23:03:18+00,18042 W Duncan St Encino 91316,46DE5B55-A312-4534-B2EE-1129701858A5_18042_W_Duncan_St_Encino_91316,Duncan,18042 W Duncan Street St Los Angeles 91316,,,,
65961,240991,,2123016003.0,,18038.0,,,West,,,Duncan,Street,,,,,,,,,,,,,91316.0,,Los Angeles,Encino,,,,,LA City,{E2A1F697-E7CA-4700-8D2E-7244EBE3A85C},0,,E2A1F697-E7CA-4700-8D2E-7244EBE3A85C,Unknown,,W,,,St,W Duncan St,2023/09/12 23:03:18+00,18038 W Duncan St Encino 91316,E2A1F697-E7CA-4700-8D2E-7244EBE3A85C_18038_W_Duncan_St_Encino_91316,Duncan,18038 W Duncan Street St Los Angeles 91316,,,,
65962,240992,,2123016003.0,,18036.0,,,West,,,Duncan,Street,,,,,,,,,,,,,91316.0,,Los Angeles,Encino,,,,,LA City,{319F1597-7B11-44E5-B8CE-E23DEB918580},0,,319F1597-7B11-44E5-B8CE-E23DEB918580,Unknown,,W,,,St,W Duncan St,2023/09/12 23:03:18+00,18036 W Duncan St Encino 91316,319F1597-7B11-44E5-B8CE-E23DEB918580_18036_W_Duncan_St_Encino_91316,Duncan,18036 W Duncan Street St Los Angeles 91316,,,,
65963,240993,,2123016004.0,,18030.0,,,West,,,Duncan,Street,,,,,,,,,,,,,91316.0,,Los Angeles,Encino,,,,,LA City,{EF196A26-4CE0-4E21-B7AF-CF5A03589BFF},0,,EF196A26-4CE0-4E21-B7AF-CF5A03589BFF,Unknown,,W,,,St,W Duncan St,2023/09/12 23:03:18+00,18030 W Duncan St Encino 91316,EF196A26-4CE0-4E21-B7AF-CF5A03589BFF_18030_W_Duncan_St_Encino_91316,Duncan,18030 W Duncan Street St Los Angeles 91316,,,,
65964,240994,,2123016005.0,,18026.0,,,West,,,Duncan,Street,,,,,,,,,,,,,91316.0,,Los Angeles,Encino,,,,,LA City,{02D315F0-6AA3-4767-9B39-6CB0C43912C2},0,,02D315F0-6AA3-4767-9B39-6CB0C43912C2,Unknown,,W,,,St,W Duncan St,2023/09/12 23:03:18+00,18026 W Duncan St Encino 91316,02D315F0-6AA3-4767-9B39-6CB0C43912C2_18026_W_Duncan_St_Encino_91316,Duncan,18026 W Duncan Street St Los Angeles 91316,,,,
65965,240995,,2123016005.0,,18028.0,,,West,,,Duncan,Street,,,,,,,,,,,,,91316.0,,Los Angeles,Encino,,,,,LA City,{5865FA45-28B4-4252-B6A3-2A73D8145248},0,,5865FA45-28B4-4252-B6A3-2A73D8145248,Unknown,,W,,,St,W Duncan St,2023/09/12 23:03:18+00,18028 W Duncan St Encino 91316,5865FA45-28B4-4252-B6A3-2A73D8145248_18028_W_Duncan_St_Encino_91316,Duncan,18028 W Duncan Street St Los Angeles 91316,,,,
65966,240996,,2123016006.0,,18020.0,,,West,,,Duncan,Street,,,,,,,,,,,,,91316.0,,Los Angeles,Encino,,,,,LA City,{C3F793E5-A66A-468E-BBF2-6C503660F27A},0,,C3F793E5-A66A-468E-BBF2-6C503660F27A,Unknown,,W,,,St,W Duncan St,2023/09/12 23:03:18+00,18020 W Duncan St Encino 91316,C3F793E5-A66A-468E-BBF2-6C503660F27A_18020_W_Duncan_St_Encino_91316,Duncan,18020 W Duncan Street St Los Angeles 91316,,,,
65967,240997,,2123016007.0,,18014.0,,,West,,,Duncan,Street,,,,,,,,,,,,,91316.0,,Los Angeles,Encino,,,,,LA City,{10118FE3-BD8D-48AD-8D7B-C486E484AAC5},0,,10118FE3-BD8D-48AD-8D7B-C486E484AAC5,Unknown,,W,,,St,W Duncan St,2023/09/12 23:03:18+00,18014 W Duncan St Encino 91316,10118FE3-BD8D-48AD-8D7B-C486E484AAC5_18014_W_Duncan_St_Encino_91316,Duncan,18014 W Duncan Street St Los Angeles 91316,,,,
65968,240998,,2123016008.0,,18010.0,,,West,,,Duncan,Street,,,,,,,,,,,,,91316.0,,Los Angeles,Encino,,,,,LA City,{A917A3F7-A957-400E-87E1-616E883588A5},0,,A917A3F7-A957-400E-87E1-616E883588A5,Unknown,,W,,,St,W Duncan St,2023/09/12 23:03:18+00,18010 W Duncan St Encino 91316,A917A3F7-A957-400E-87E1-616E883588A5_18010_W_Duncan_St_Encino_91316,Duncan,18010 W Duncan Street St Los Angeles 91316,,,,
