fid,OBJECTID,OBJIDstr,AIN,NumPrefix,Number,NumSuffix,PreMod,PreDir,PreType,StArticle,StreetName,PostType,PostDir,PostMod,BldgID,BldgSource,BldgTypePl,BldgType,BldgName,FlrTypePl,FlrType,FlrName,UnitType,UnitName,ZipCode,Zip4,LegalComm,PostComm1,PostComm2,PostComm3,OtherComm1,OtherComm2,Source,SourceID,MADRank,AROIDstr,OIDstr,PropType,ObjID,PreDirAbbr,PostDirAbbr,PreTypeAbbr,PostTypeAbbr,FullName,UpdateDate,FullAddress,UniqueID,StName_EnerGov,FullAddress_EnerGov,MSAG_City,ESN,lon,lat
154,241,,,,21907.0,,,West,,,Toscana,Drive,,,,,,,,,,,,,91311.0,,Unincorporated,Chatsworth,,,,,LACO DPW Add,{362AFBCC-E1B3-436B-A560-D94C1EE17116},0,,362AFBCC-E1B3-436B-A560-D94C1EE17116,Unknown,,W,,,Dr,W Toscana Dr,2020/03/13 12:48:55+00,21907 W Toscana Dr Chatsworth 91311,362AFBCC-E1B3-436B-A560-D94C1EE17116_21907_W_Toscana_Dr_Chatsworth_91311,Toscana,21907 W Toscana Drive Dr Chatsworth 91311,,,,
334,524,,,,11542.0,,,,,,Verona,Drive,,,,,,,,,,,,,91311.0,,Unincorporated,Chatsworth,,,,,LACO DPW Add,{A0C0EE65-6EE6-4F64-9EB8-AABD72ED5C38},0,,A0C0EE65-6EE6-4F64-9EB8-AABD72ED5C38,Unknown,,,,,Dr,Verona Dr,2015/05/04 20:52:16+00,11542 Verona Dr Chatsworth 91311,A0C0EE65-6EE6-4F64-9EB8-AABD72ED5C38_11542_Verona_Dr_Chatsworth_91311,Verona,11542 Verona Drive Dr Chatsworth 91311,,,,
589,933,,,,11628.0,,,,,,Verona,Drive,,,,,,,,,,,,,91311.0,,Unincorporated,Chatsworth,,,,,LACO DPW Add,{0C37AEA8-5A60-4F78-8133-740B6F4C0F3A},0,,0C37AEA8-5A60-4F78-8133-740B6F4C0F3A,Unknown,,,,,Dr,Verona Dr,2015/05/04 20:51:11+00,11628 Verona Dr Chatsworth 91311,0C37AEA8-5A60-4F78-8133-740B6F4C0F3A_11628_Verona_Dr_Chatsworth_91311,Verona,11628 Verona Drive Dr Chatsworth 91311,,,,
912,1468,,,,21929.0,,,West,,,Cortina,Place,,,,,,,,,,,,,91311.0,,Unincorporated,Chatsworth,,,,,LACO DPW Add,{7D9879BE-1EC1-47C1-9581-04FF292501DE},0,,7D9879BE-1EC1-47C1-9581-04FF292501DE,Unknown,,W,,,Pl,W Cortina Pl,2018/11/07 06:58:10+00,21929 W Cortina Pl Chatsworth 91311,7D9879BE-1EC1-47C1-9581-04FF292501DE_21929_W_Cortina_Pl_Chatsworth_91311,Cortina,21929 W Cortina Place Pl Chatsworth 91311,,,,
975,1565,,,,11610.0,,,,,,Verona,Drive,,,,,,,,,,,,,91311.0,,Unincorporated,Chatsworth,,,,,LACO DPW Add,{B26454E9-F395-4D14-91A5-557A9B87415B},0,,B26454E9-F395-4D14-91A5-557A9B87415B,Unknown,,,,,Dr,Verona Dr,2015/05/04 20:50:13+00,11610 Verona Dr Chatsworth 91311,B26454E9-F395-4D14-91A5-557A9B87415B_11610_Verona_Dr_Chatsworth_91311,Verona,11610 Verona Drive Dr Chatsworth 91311,,,,
1101,1765,,,,21526.0,U,,,,,Poema,Place,,,,,,,,,,,,,91311.0,,Unincorporated,Chatsworth,,,,,LACO DPW Add,{BBDFBFF8-84CA-4E4F-85B2-EC2F111A671C},0,,BBDFBFF8-84CA-4E4F-85B2-EC2F111A671C,Utility,,,,,Pl,Poema Pl,2024/07/17 18:16:05+00,21526 U Poema Pl Chatsworth 91311,BBDFBFF8-84CA-4E4F-85B2-EC2F111A671C_21526_U_Poema_Pl_Chatsworth_91311,Poema,21526 U Poema Place Pl Chatsworth 91311,,,,
1140,1827,,,,21940.0,,,West,,,Cortina,Place,,,,,,,,,,,,,91311.0,,Unincorporated,Chatsworth,,,,,LACO DPW Add,{82FBC629-10FF-4046-A7E9-82DEDBECDD3E},0,,82FBC629-10FF-4046-A7E9-82DEDBECDD3E,Unknown,,W,,,Pl,W Cortina Pl,2018/11/20 06:29:02+00,21940 W Cortina Pl Chatsworth 91311,82FBC629-10FF-4046-A7E9-82DEDBECDD3E_21940_W_Cortina_Pl_Chatsworth_91311,Cortina,21940 W Cortina Place Pl Chatsworth 91311,,,,
1171,1885,,,,11537.0,,,,,,Verona,Drive,,,,,,,,,,,,,91311.0,,Unincorporated,Chatsworth,,,,,LACO DPW Add,{A85CC69D-AED5-46F7-B080-6EE66E2E1CF6},0,,A85CC69D-AED5-46F7-B080-6EE66E2E1CF6,Unknown,,,,,Dr,Verona Dr,2015/05/04 20:50:50+00,11537 Verona Dr Chatsworth 91311,A85CC69D-AED5-46F7-B080-6EE66E2E1CF6_11537_Verona_Dr_Chatsworth_91311,Verona,11537 Verona Drive Dr Chatsworth 91311,,,,
1269,2063,,,,11629.0,,,,,,Verona,Drive,,,,,,,,,,,,,91311.0,,Unincorporated,Chatsworth,,,,,LACO DPW Add,{07B65466-CD90-4BA1-A188-4498C3FD61D3},0,,07B65466-CD90-4BA1-A188-4498C3FD61D3,Unknown,,,,,Dr,Verona Dr,2015/05/04 20:51:30+00,11629 Verona Dr Chatsworth 91311,07B65466-CD90-4BA1-A188-4498C3FD61D3_11629_Verona_Dr_Chatsworth_91311,Verona,11629 Verona Drive Dr Chatsworth 91311,,,,
1277,2071,,,,11557.0,,,,,,Verona,Drive,,,,,,,,,,,,,91311.0,,Unincorporated,Chatsworth,,,,,LACO DPW Add,{08A27665-A019-4CC7-92B6-0ED31D17DE44},0,,08A27665-A019-4CC7-92B6-0ED31D17DE44,Unknown,,,,,Dr,Verona Dr,2015/05/04 20:50:50+00,11557 Verona Dr Chatsworth 91311,08A27665-A019-4CC7-92B6-0ED31D17DE44_11557_Verona_Dr_Chatsworth_91311,Verona,11557 Verona Drive Dr Chatsworth 91311,,,,
