fid,OBJECTID,OBJIDstr,AIN,NumPrefix,Number,NumSuffix,PreMod,PreDir,PreType,StArticle,StreetName,PostType,PostDir,PostMod,BldgID,BldgSource,BldgTypePl,BldgType,BldgName,FlrTypePl,FlrType,FlrName,UnitType,UnitName,ZipCode,Zip4,LegalComm,PostComm1,PostComm2,PostComm3,OtherComm1,OtherComm2,Source,SourceID,MADRank,AROIDstr,OIDstr,PropType,ObjID,PreDirAbbr,PostDirAbbr,PreTypeAbbr,PostTypeAbbr,FullName,UpdateDate,FullAddress,UniqueID,StName_EnerGov,FullAddress_EnerGov,MSAG_City,ESN,lon,lat
660669,1237416,,5144001010.0,,611.0,,,South,,,Main,Street,,,,,,,,,,,,,90014.0,,Los Angeles,Los Angeles,,,,,LA City,{1070A038-857E-41A9-9066-7A02184CA6CC},0,,1070A038-857E-41A9-9066-7A02184CA6CC,Unknown,,S,,,St,S Main St,2023/09/12 23:03:18+00,611 S Main St Los Angeles 90014,1070A038-857E-41A9-9066-7A02184CA6CC_611_S_Main_St_Los_Angeles_90014,Main,611 S Main Street St Los Angeles 90014,,,,
660670,1237417,,5144001010.0,,601.0,,,South,,,Main,Street,,,,,,,,,,,,,90014.0,,Los Angeles,Los Angeles,,,,,LA City,{302AA96E-203A-40D2-85B2-9E8F3388FCDF},0,,302AA96E-203A-40D2-85B2-9E8F3388FCDF,Unknown,,S,,,St,S Main St,2023/09/12 23:03:18+00,601 S Main St Los Angeles 90014,302AA96E-203A-40D2-85B2-9E8F3388FCDF_601_S_Main_St_Los_Angeles_90014,Main,601 S Main Street St Los Angeles 90014,,,,
660671,1237418,,5144001010.0,,114.0,,,West,,,6Th,Street,,,,,,,,,,,,,90014.0,,Los Angeles,Los Angeles,,,,,LA City,{9DF0CBE6-C71D-4B03-BF7A-4F258E5AD402},0,,9DF0CBE6-C71D-4B03-BF7A-4F258E5AD402,Unknown,,W,,,St,W 6Th St,2023/09/12 23:03:18+00,114 W 6Th St Los Angeles 90014,9DF0CBE6-C71D-4B03-BF7A-4F258E5AD402_114_W_6Th_St_Los_Angeles_90014,6Th,114 W 6Th Street St Los Angeles 90014,,,,
660672,1237419,,5144001010.0,,108.0,,,West,,,6Th,Street,,,,,,,,,,,,,90014.0,,Los Angeles,Los Angeles,,,,,LA City,{B54FCC50-6874-45F0-BA99-7BB708559128},0,,B54FCC50-6874-45F0-BA99-7BB708559128,Unknown,,W,,,St,W 6Th St,2023/09/12 23:03:18+00,108 W 6Th St Los Angeles 90014,B54FCC50-6874-45F0-BA99-7BB708559128_108_W_6Th_St_Los_Angeles_90014,6Th,108 W 6Th Street St Los Angeles 90014,,,,
660673,1237420,,5144001010.0,,603.0,,,South,,,Main,Street,,,,,,,,,,,,,90014.0,,Los Angeles,Los Angeles,,,,,LA City,{94D67D7A-5ACE-4CF2-AEB5-79F601FF3D45},0,,94D67D7A-5ACE-4CF2-AEB5-79F601FF3D45,Unknown,,S,,,St,S Main St,2023/09/12 23:03:18+00,603 S Main St Los Angeles 90014,94D67D7A-5ACE-4CF2-AEB5-79F601FF3D45_603_S_Main_St_Los_Angeles_90014,Main,603 S Main Street St Los Angeles 90014,,,,
660674,1237421,,5144001011.0,,105.0,,,West,,,7Th,Street,,,,,,,,,,,,,90014.0,,Los Angeles,Los Angeles,,,,,LA City,{6D0BB051-6F63-444B-8FF3-A07F3051DFAC},0,,6D0BB051-6F63-444B-8FF3-A07F3051DFAC,Unknown,,W,,,St,W 7Th St,2023/09/12 23:03:18+00,105 W 7Th St Los Angeles 90014,6D0BB051-6F63-444B-8FF3-A07F3051DFAC_105_W_7Th_St_Los_Angeles_90014,7Th,105 W 7Th Street St Los Angeles 90014,,,,
660675,1237422,,5144001011.0,,645.0,,,South,,,Main,Street,,,,,,,,,,,,,90014.0,,Los Angeles,Los Angeles,,,,,LA City,{7F2EC24F-8EC7-40B1-A5D0-B7259A587E3E},0,,7F2EC24F-8EC7-40B1-A5D0-B7259A587E3E,Unknown,,S,,,St,S Main St,2023/09/12 23:03:18+00,645 S Main St Los Angeles 90014,7F2EC24F-8EC7-40B1-A5D0-B7259A587E3E_645_S_Main_St_Los_Angeles_90014,Main,645 S Main Street St Los Angeles 90014,,,,
660676,1237423,,5144001011.0,,655.0,,,South,,,Main,Street,,,,,,,,,,,,,90014.0,,Los Angeles,Los Angeles,,,,,LA City,{B8FE8A51-0B3B-4229-BEFD-8D91E535C3D5},0,,B8FE8A51-0B3B-4229-BEFD-8D91E535C3D5,Unknown,,S,,,St,S Main St,2023/09/12 23:03:18+00,655 S Main St Los Angeles 90014,B8FE8A51-0B3B-4229-BEFD-8D91E535C3D5_655_S_Main_St_Los_Angeles_90014,Main,655 S Main Street St Los Angeles 90014,,,,
660677,1237424,,5144001011.0,,101.0,,,West,,,7Th,Street,,,,,,,,,,,,,90014.0,,Los Angeles,Los Angeles,,,,,LA City,{A85FFDF7-E15D-4B59-8947-424AF6C2E5E4},0,,A85FFDF7-E15D-4B59-8947-424AF6C2E5E4,Unknown,,W,,,St,W 7Th St,2023/09/12 23:03:18+00,101 W 7Th St Los Angeles 90014,A85FFDF7-E15D-4B59-8947-424AF6C2E5E4_101_W_7Th_St_Los_Angeles_90014,7Th,101 W 7Th Street St Los Angeles 90014,,,,
660678,1237425,,5144001011.0,,107.0,,,West,,,7Th,Street,,,,,,,,,,,,,90014.0,,Los Angeles,Los Angeles,,,,,LA City,{C33FD392-BE52-4650-B536-B6312DDE266D},0,,C33FD392-BE52-4650-B536-B6312DDE266D,Unknown,,W,,,St,W 7Th St,2023/09/12 23:03:18+00,107 W 7Th St Los Angeles 90014,C33FD392-BE52-4650-B536-B6312DDE266D_107_W_7Th_St_Los_Angeles_90014,7Th,107 W 7Th Street St Los Angeles 90014,,,,
660679,1237426,,5144001011.0,,111.0,,,West,,,7Th,Street,,,,,,,,,,,,,90014.0,,Los Angeles,Los Angeles,,,,,LA City,{8CAA934E-D80A-4BDD-B1CE-F03005979B50},0,,8CAA934E-D80A-4BDD-B1CE-F03005979B50,Unknown,,W,,,St,W 7Th St,2023/09/12 23:03:18+00,111 W 7Th St Los Angeles 90014,8CAA934E-D80A-4BDD-B1CE-F03005979B50_111_W_7Th_St_Los_Angeles_90014,7Th,111 W 7Th Street St Los Angeles 90014,,,,
660680,1237427,,5144001011.0,,659.0,,,South,,,Main,Street,,,,,,,,,,,,,90014.0,,Los Angeles,Los Angeles,,,,,LA City,{EC30A24F-B877-4E0C-9584-BDE7FF169756},0,,EC30A24F-B877-4E0C-9584-BDE7FF169756,Unknown,,S,,,St,S Main St,2023/09/12 23:03:18+00,659 S Main St Los Angeles 90014,EC30A24F-B877-4E0C-9584-BDE7FF169756_659_S_Main_St_Los_Angeles_90014,Main,659 S Main Street St Los Angeles 90014,,,,
660681,1237428,,5144001011.0,,637.0,,,South,,,Main,Street,,,,,,,,,,,,,90014.0,,Los Angeles,Los Angeles,,,,,LA City,{9A7C94C1-C3D0-4E94-8E05-6B88951B4A4A},0,,9A7C94C1-C3D0-4E94-8E05-6B88951B4A4A,Unknown,,S,,,St,S Main St,2023/09/12 23:03:18+00,637 S Main St Los Angeles 90014,9A7C94C1-C3D0-4E94-8E05-6B88951B4A4A_637_S_Main_St_Los_Angeles_90014,Main,637 S Main Street St Los Angeles 90014,,,,
660682,1237429,,5144001011.0,,631.0,,,South,,,Main,Street,,,,,,,,,,,,,90014.0,,Los Angeles,Los Angeles,,,,,LA City,{BAACBFD5-C713-46A7-9B65-68F78EF24CEE},0,,BAACBFD5-C713-46A7-9B65-68F78EF24CEE,Unknown,,S,,,St,S Main St,2023/09/12 23:03:18+00,631 S Main St Los Angeles 90014,BAACBFD5-C713-46A7-9B65-68F78EF24CEE_631_S_Main_St_Los_Angeles_90014,Main,631 S Main Street St Los Angeles 90014,,,,
660683,1237430,,5144001011.0,,649.0,,,South,,,Main,Street,,,,,,,,,,,,,90014.0,,Los Angeles,Los Angeles,,,,,LA City,{3A7B6125-A66D-4B9F-992F-7E08CE1AB4E1},0,,3A7B6125-A66D-4B9F-992F-7E08CE1AB4E1,Unknown,,S,,,St,S Main St,2023/09/12 23:03:18+00,649 S Main St Los Angeles 90014,3A7B6125-A66D-4B9F-992F-7E08CE1AB4E1_649_S_Main_St_Los_Angeles_90014,Main,649 S Main Street St Los Angeles 90014,,,,
660684,1237431,,5144001011.0,,641.0,,,South,,,Main,Street,,,,,,,,,,,,,90014.0,,Los Angeles,Los Angeles,,,,,LA City,{E72AF6E4-C321-4ACE-8A6E-56D789E0B893},0,,E72AF6E4-C321-4ACE-8A6E-56D789E0B893,Unknown,,S,,,St,S Main St,2023/09/12 23:03:18+00,641 S Main St Los Angeles 90014,E72AF6E4-C321-4ACE-8A6E-56D789E0B893_641_S_Main_St_Los_Angeles_90014,Main,641 S Main Street St Los Angeles 90014,,,,
660685,1237432,,5144001011.0,,109.0,,,West,,,7Th,Street,,,,,,,,,,,,,90014.0,,Los Angeles,Los Angeles,,,,,LA City,{9C47577F-550F-4512-8657-7DEF2E952D89},0,,9C47577F-550F-4512-8657-7DEF2E952D89,Unknown,,W,,,St,W 7Th St,2023/09/12 23:03:18+00,109 W 7Th St Los Angeles 90014,9C47577F-550F-4512-8657-7DEF2E952D89_109_W_7Th_St_Los_Angeles_90014,7Th,109 W 7Th Street St Los Angeles 90014,,,,
660686,1237433,,5144001011.0,,643.0,,,South,,,Main,Street,,,,,,,,,,,,,90014.0,,Los Angeles,Los Angeles,,,,,LA City,{CD7C45A3-0741-4937-8CA1-0FADA2819DD6},0,,CD7C45A3-0741-4937-8CA1-0FADA2819DD6,Unknown,,S,,,St,S Main St,2023/09/12 23:03:18+00,643 S Main St Los Angeles 90014,CD7C45A3-0741-4937-8CA1-0FADA2819DD6_643_S_Main_St_Los_Angeles_90014,Main,643 S Main Street St Los Angeles 90014,,,,
660687,1237434,,5144001011.0,,639.0,,,South,,,Main,Street,,,,,,,,,,,,,90014.0,,Los Angeles,Los Angeles,,,,,LA City,{4BAA9DB8-E375-41A9-98F5-56BB3893C63C},0,,4BAA9DB8-E375-41A9-98F5-56BB3893C63C,Unknown,,S,,,St,S Main St,2023/09/12 23:03:18+00,639 S Main St Los Angeles 90014,4BAA9DB8-E375-41A9-98F5-56BB3893C63C_639_S_Main_St_Los_Angeles_90014,Main,639 S Main Street St Los Angeles 90014,,,,
660688,1237435,,5144001012.0,,621.0,,,South,,,Main,Street,,,,,,,,,,,,,90014.0,,Los Angeles,Los Angeles,,,,,LA City,{C989413C-1378-4C94-A6AD-973CC18EB962},0,,C989413C-1378-4C94-A6AD-973CC18EB962,Unknown,,S,,,St,S Main St,2023/09/12 23:03:18+00,621 S Main St Los Angeles 90014,C989413C-1378-4C94-A6AD-973CC18EB962_621_S_Main_St_Los_Angeles_90014,Main,621 S Main Street St Los Angeles 90014,,,,
660689,1237436,,5144001012.0,,619.0,1/2,,South,,,Main,Street,,,,,,,,,,,,,90014.0,,Los Angeles,Los Angeles,,,,,LA City,{0E3FD42A-942F-49D6-B14C-C59C1AC29AE7},0,,0E3FD42A-942F-49D6-B14C-C59C1AC29AE7,Unknown,,S,,,St,S Main St,2024/05/12 21:05:27+00,619 1/2 S Main St Los Angeles 90014,0E3FD42A-942F-49D6-B14C-C59C1AC29AE7_619_1/2_S_Main_St_Los_Angeles_90014,Main,619 1/2 S Main Street St Los Angeles 90014,,,,
660690,1237437,,5144001012.0,,619.0,,,South,,,Main,Street,,,,,,,,,,,,,90014.0,,Los Angeles,Los Angeles,,,,,LA City,{E5C8477B-195D-4EF5-B988-F88B723EC5BC},0,,E5C8477B-195D-4EF5-B988-F88B723EC5BC,Unknown,,S,,,St,S Main St,2024/05/12 21:05:27+00,619 S Main St Los Angeles 90014,E5C8477B-195D-4EF5-B988-F88B723EC5BC_619_S_Main_St_Los_Angeles_90014,Main,619 S Main Street St Los Angeles 90014,,,,
660691,1237438,,5144001013.0,,627.0,,,South,,,Main,Street,,,,,,,,,,,,,90014.0,,Los Angeles,Los Angeles,,,,,LA City,{D242942F-3BFF-4E16-A01C-287C6D8B354B},0,,D242942F-3BFF-4E16-A01C-287C6D8B354B,Unknown,,S,,,St,S Main St,2023/09/12 23:03:18+00,627 S Main St Los Angeles 90014,D242942F-3BFF-4E16-A01C-287C6D8B354B_627_S_Main_St_Los_Angeles_90014,Main,627 S Main Street St Los Angeles 90014,,,,
660692,1237439,,5144001013.0,,625.0,,,South,,,Main,Street,,,,,,,,,,,,,90014.0,,Los Angeles,Los Angeles,,,,,LA City,{9DC7C68D-7884-4F49-A3FB-C48610118865},0,,9DC7C68D-7884-4F49-A3FB-C48610118865,Unknown,,S,,,St,S Main St,2023/09/12 23:03:18+00,625 S Main St Los Angeles 90014,9DC7C68D-7884-4F49-A3FB-C48610118865_625_S_Main_St_Los_Angeles_90014,Main,625 S Main Street St Los Angeles 90014,,,,
660693,1237440,,5144001013.0,,629.0,,,South,,,Main,Street,,,,,,,,,,,,,90014.0,,Los Angeles,Los Angeles,,,,,LA City,{3724F169-5C7D-4E26-8C00-EEBE19057D38},0,,3724F169-5C7D-4E26-8C00-EEBE19057D38,Unknown,,S,,,St,S Main St,2023/09/12 23:03:18+00,629 S Main St Los Angeles 90014,3724F169-5C7D-4E26-8C00-EEBE19057D38_629_S_Main_St_Los_Angeles_90014,Main,629 S Main Street St Los Angeles 90014,,,,
