fid,OBJECTID,OBJIDstr,AIN,NumPrefix,Number,NumSuffix,PreMod,PreDir,PreType,StArticle,StreetName,PostType,PostDir,PostMod,BldgID,BldgSource,BldgTypePl,BldgType,BldgName,FlrTypePl,FlrType,FlrName,UnitType,UnitName,ZipCode,Zip4,LegalComm,PostComm1,PostComm2,PostComm3,OtherComm1,OtherComm2,Source,SourceID,MADRank,AROIDstr,OIDstr,PropType,ObjID,PreDirAbbr,PostDirAbbr,PreTypeAbbr,PostTypeAbbr,FullName,UpdateDate,FullAddress,UniqueID,StName_EnerGov,FullAddress_EnerGov,MSAG_City,ESN,lon,lat
13850,54260,,,,3840.0,,,South,,,Overland,Avenue,,,,,,,,,,,,1-5,90232.0,,Los Angeles,Culver City,,,,,LA City,{B10C9EEC-DF7B-4AA2-B05F-8EB11BB15662},0,,B10C9EEC-DF7B-4AA2-B05F-8EB11BB15662,Unknown,,S,,,Ave,S Overland Ave,2023/09/12 23:03:18+00,3840 S Overland Ave 1-5 Culver City 90232,B10C9EEC-DF7B-4AA2-B05F-8EB11BB15662_3840_S_Overland_Ave_1-5_Culver_City_90232,Overland,3840 S Overland Avenue Ave 1-5 Los Angeles 90232,,,,
404327,925299,,4204005902.0,,6001.0,,,West,,,Jefferson,Boulevard,,,,,,,,,,,,,90232.0,,Los Angeles,Culver City,,,,,LA City,{C8A3AC1A-CB91-4D94-9EFC-75E624A38E27},0,,C8A3AC1A-CB91-4D94-9EFC-75E624A38E27,Unknown,,W,,,Blvd,W Jefferson Blvd,2023/09/12 23:03:18+00,6001 W Jefferson Blvd Culver City 90232,C8A3AC1A-CB91-4D94-9EFC-75E624A38E27_6001_W_Jefferson_Blvd_Culver_City_90232,Jefferson,6001 W Jefferson Boulevard Blvd Los Angeles 90232,,,,
404349,925354,,4204008032.0,,3801.0,,,South,,,Lenawee,Avenue,,,,,,,,,,,,,90232.0,,Los Angeles,Culver City,,,,,LA City,{71C63F7F-7D49-41DE-8750-D807792C0629},0,,71C63F7F-7D49-41DE-8750-D807792C0629,Unknown,,S,,,Ave,S Lenawee Ave,2023/09/12 23:03:18+00,3801 S Lenawee Ave Culver City 90232,71C63F7F-7D49-41DE-8750-D807792C0629_3801_S_Lenawee_Ave_Culver_City_90232,Lenawee,3801 S Lenawee Avenue Ave Los Angeles 90232,,,,
404503,926323,,4205022013.0,,3515.0,,,,,,Eastham,Drive,,,,,,,,,,,,,90232.0,,Culver City,Culver City,,,,,Culver GIS,{BC050352-24ED-4ADF-8C0C-789A30B9DD64},0,,BC050352-24ED-4ADF-8C0C-789A30B9DD64,Unknown,,,,,Dr,Eastham Dr,2015/03/24 20:45:14+00,3515 Eastham Dr Culver City 90232,BC050352-24ED-4ADF-8C0C-789A30B9DD64_3515_Eastham_Dr_Culver_City_90232,Eastham,3515 Eastham Drive Dr Culver City 90232,,,,
404504,926329,,4205022018.0,,3582.0,,,,,,Eastham,Drive,,,,,,,,,,,,,90232.0,,Culver City,Culver City,,,,,Culver GIS,{0E3B0444-5B83-4354-BDF4-CE3FDBF5D766},0,,0E3B0444-5B83-4354-BDF4-CE3FDBF5D766,Unknown,,,,,Dr,Eastham Dr,2015/03/24 20:45:14+00,3582 Eastham Dr Culver City 90232,0E3B0444-5B83-4354-BDF4-CE3FDBF5D766_3582_Eastham_Dr_Culver_City_90232,Eastham,3582 Eastham Drive Dr Culver City 90232,,,,
404505,926330,,4205022018.0,,3582.0,,,,,,Eastham,Drive,,,,,,,,,,,Unit,A,90232.0,,Culver City,Culver City,,,,,Culver GIS,{66D5ACF3-0E97-4000-AECB-277EC2AE1EB9},0,,66D5ACF3-0E97-4000-AECB-277EC2AE1EB9,Unknown,,,,,Dr,Eastham Dr,2015/03/24 20:45:14+00,3582 Eastham Dr Unit A Culver City 90232,66D5ACF3-0E97-4000-AECB-277EC2AE1EB9_3582_Eastham_Dr_Unit_A_Culver_City_90232,Eastham,3582 Eastham Drive Dr Unit A Culver City 90232,,,,
404605,927600,,4206028001.0,,3809.0,,,South,,,Bagley,Avenue,,,,,,,,,,,,,90232.0,,Los Angeles,Culver City,,,,,LA City,{431AF28E-41CE-416C-AC52-E8D90ACC22E0},0,,431AF28E-41CE-416C-AC52-E8D90ACC22E0,Unknown,,S,,,Ave,S Bagley Ave,2023/09/12 23:03:18+00,3809 S Bagley Ave Culver City 90232,431AF28E-41CE-416C-AC52-E8D90ACC22E0_3809_S_Bagley_Ave_Culver_City_90232,Bagley,3809 S Bagley Avenue Ave Los Angeles 90232,,,,
404606,927602,,4206028002.0,,3815.0,,,,,,Main,Street,,,,,,,,,,,,,90232.0,,Los Angeles,Culver City,,,,,Assessor,{96718B97-3D55-48C0-9A00-BFB5997E4D60},0,,96718B97-3D55-48C0-9A00-BFB5997E4D60,Unknown,,,,,St,Main St,2024/04/27 17:13:09+00,3815 Main St Culver City 90232,96718B97-3D55-48C0-9A00-BFB5997E4D60_3815_Main_St_Culver_City_90232,Main,3815 Main Street St Los Angeles 90232,,,,
404607,927623,,4206028019.0,,9418.0,,,West,,,Venice,Boulevard,,,,,,,,,,,,,90232.0,,Los Angeles,Culver City,,,,,LA City,{F47EAC8E-17DE-4498-9A25-A077076DE4D7},0,,F47EAC8E-17DE-4498-9A25-A077076DE4D7,Unknown,,W,,,Blvd,W Venice Blvd,2023/09/12 23:03:18+00,9418 W Venice Blvd Culver City 90232,F47EAC8E-17DE-4498-9A25-A077076DE4D7_9418_W_Venice_Blvd_Culver_City_90232,Venice,9418 W Venice Boulevard Blvd Los Angeles 90232,,,,
404608,927624,,4206028019.0,,9416.0,,,West,,,Venice,Boulevard,,,,,,,,,,,,,90232.0,,Los Angeles,Culver City,,,,,LA City,{F2D41CBC-D129-4B7F-B07B-15EDDF0983B7},0,,F2D41CBC-D129-4B7F-B07B-15EDDF0983B7,Unknown,,W,,,Blvd,W Venice Blvd,2023/09/12 23:03:18+00,9416 W Venice Blvd Culver City 90232,F2D41CBC-D129-4B7F-B07B-15EDDF0983B7_9416_W_Venice_Blvd_Culver_City_90232,Venice,9416 W Venice Boulevard Blvd Los Angeles 90232,,,,
