fid,OBJECTID,OBJIDstr,AIN,NumPrefix,Number,NumSuffix,PreMod,PreDir,PreType,StArticle,StreetName,PostType,PostDir,PostMod,BldgID,BldgSource,BldgTypePl,BldgType,BldgName,FlrTypePl,FlrType,FlrName,UnitType,UnitName,ZipCode,Zip4,LegalComm,PostComm1,PostComm2,PostComm3,OtherComm1,OtherComm2,Source,SourceID,MADRank,AROIDstr,OIDstr,PropType,ObjID,PreDirAbbr,PostDirAbbr,PreTypeAbbr,PostTypeAbbr,FullName,UpdateDate,FullAddress,UniqueID,StName_EnerGov,FullAddress_EnerGov,MSAG_City,ESN,lon,lat
744651,1347319,,5311001020.0,,116.0,,,,,,Marmion,Way,,,,,,,,,,,Unit,1,91030.0,,South Pasadena,South Pasadena,,,,,Office of Assessor,{F6EFDB21-717E-4E20-9898-B31EACB1B559},0,,F6EFDB21-717E-4E20-9898-B31EACB1B559,Unknown,,,,,Wy,Marmion Wy,2024/05/12 21:05:27+00,116 Marmion Wy Unit 1 South Pasadena 91030,F6EFDB21-717E-4E20-9898-B31EACB1B559_116_Marmion_Wy_Unit_1_South_Pasadena_91030,Marmion,116 Marmion Way Wy Unit 1 South Pasadena 91030,,,,
744652,1347322,,5311001023.0,,116.0,,,,,,Marmion,Way,,,,,,,,,,,Unit,4,91030.0,,South Pasadena,South Pasadena,,,,,Office of Assessor,{E4818607-E0D8-4D90-92EC-3B87FBDDA1E5},0,,E4818607-E0D8-4D90-92EC-3B87FBDDA1E5,Unknown,,,,,Wy,Marmion Wy,2024/05/12 21:05:27+00,116 Marmion Wy Unit 4 South Pasadena 91030,E4818607-E0D8-4D90-92EC-3B87FBDDA1E5_116_Marmion_Wy_Unit_4_South_Pasadena_91030,Marmion,116 Marmion Way Wy Unit 4 South Pasadena 91030,,,,
744653,1347326,,5311001027.0,,116.0,,,,,,Marmion,Way,,,,,,,,,,,Unit,8,91030.0,,South Pasadena,South Pasadena,,,,,Office of Assessor,{838F1958-8579-454F-986B-26AFE777D2CB},0,,838F1958-8579-454F-986B-26AFE777D2CB,Unknown,,,,,Wy,Marmion Wy,2024/05/12 21:05:27+00,116 Marmion Wy Unit 8 South Pasadena 91030,838F1958-8579-454F-986B-26AFE777D2CB_116_Marmion_Wy_Unit_8_South_Pasadena_91030,Marmion,116 Marmion Way Wy Unit 8 South Pasadena 91030,,,,
744654,1347328,,5311001029.0,,116.0,,,,,,Marmion,Way,,,,,,,,,,,Unit,10,91030.0,,South Pasadena,South Pasadena,,,,,Office of Assessor,{F8F47C77-490A-45EA-ACB4-94DC3C39FB92},0,,F8F47C77-490A-45EA-ACB4-94DC3C39FB92,Unknown,,,,,Wy,Marmion Wy,2024/05/12 21:05:27+00,116 Marmion Wy Unit 10 South Pasadena 91030,F8F47C77-490A-45EA-ACB4-94DC3C39FB92_116_Marmion_Wy_Unit_10_South_Pasadena_91030,Marmion,116 Marmion Way Wy Unit 10 South Pasadena 91030,,,,
744655,1347331,,5311001032.0,,116.0,,,,,,Marmion,Way,,,,,,,,,,,Unit,13,91030.0,,South Pasadena,South Pasadena,,,,,Office of Assessor,{0069AD96-2A97-4C3B-B24F-03FD963BEFAE},0,,0069AD96-2A97-4C3B-B24F-03FD963BEFAE,Unknown,,,,,Wy,Marmion Wy,2024/05/12 21:05:27+00,116 Marmion Wy Unit 13 South Pasadena 91030,0069AD96-2A97-4C3B-B24F-03FD963BEFAE_116_Marmion_Wy_Unit_13_South_Pasadena_91030,Marmion,116 Marmion Way Wy Unit 13 South Pasadena 91030,,,,
744656,1347332,,5311001033.0,,116.0,,,,,,Marmion,Way,,,,,,,,,,,Unit,14,91030.0,,South Pasadena,South Pasadena,,,,,Office of Assessor,{7B88A206-9FB2-4574-BF36-B0390F709C6D},0,,7B88A206-9FB2-4574-BF36-B0390F709C6D,Unknown,,,,,Wy,Marmion Wy,2024/05/12 21:05:27+00,116 Marmion Wy Unit 14 South Pasadena 91030,7B88A206-9FB2-4574-BF36-B0390F709C6D_116_Marmion_Wy_Unit_14_South_Pasadena_91030,Marmion,116 Marmion Way Wy Unit 14 South Pasadena 91030,,,,
744657,1347335,,5311001036.0,,116.0,,,,,,Marmion,Way,,,,,,,,,,,Unit,17,91030.0,,South Pasadena,South Pasadena,,,,,Office of Assessor,{33F927DE-0EEC-4DA1-987B-F808A6D037C8},0,,33F927DE-0EEC-4DA1-987B-F808A6D037C8,Unknown,,,,,Wy,Marmion Wy,2024/05/12 21:05:27+00,116 Marmion Wy Unit 17 South Pasadena 91030,33F927DE-0EEC-4DA1-987B-F808A6D037C8_116_Marmion_Wy_Unit_17_South_Pasadena_91030,Marmion,116 Marmion Way Wy Unit 17 South Pasadena 91030,,,,
744659,1347344,,5311002057.0,,109.0,,,,,,Marmion,Way,,,,,,,,,,,,,91030.0,,South Pasadena,South Pasadena,,,,,Office of Assessor,{79DD62F3-1CAD-4CA3-8020-2E0D31633848},0,,79DD62F3-1CAD-4CA3-8020-2E0D31633848,Unknown,,,,,Wy,Marmion Wy,2015/04/04 02:35:25+00,109 Marmion Wy South Pasadena 91030,79DD62F3-1CAD-4CA3-8020-2E0D31633848_109_Marmion_Wy_South_Pasadena_91030,Marmion,109 Marmion Way Wy South Pasadena 91030,,,,
744876,1347961,,5312015058.0,,4949.0,,,,,,Collis,Avenue,,,,,,,,,,,,,91030.0,,Los Angeles,South Pasadena,,,,,Assessor,{07DDAFF9-EA0A-4958-BB39-E30AA329B74C},0,,07DDAFF9-EA0A-4958-BB39-E30AA329B74C,Unknown,,,,,Ave,Collis Ave,2024/04/27 17:13:09+00,4949 Collis Ave South Pasadena 91030,07DDAFF9-EA0A-4958-BB39-E30AA329B74C_4949_Collis_Ave_South_Pasadena_91030,Collis,4949 Collis Avenue Ave Los Angeles 91030,,,,
744877,1347962,,5312015059.0,,4953.0,,,,,,Collis,Avenue,,,,,,,,,,,,,91030.0,,South Pasadena,South Pasadena,,,,,Office of Assessor,{DBA55555-0994-4E6C-A461-C83C5BB4FF96},0,,DBA55555-0994-4E6C-A461-C83C5BB4FF96,Unknown,,,,,Ave,Collis Ave,2015/05/11 20:02:20+00,4953 Collis Ave South Pasadena 91030,DBA55555-0994-4E6C-A461-C83C5BB4FF96_4953_Collis_Ave_South_Pasadena_91030,Collis,4953 Collis Avenue Ave South Pasadena 91030,,,,
