fid,OBJECTID,OBJIDstr,AIN,NumPrefix,Number,NumSuffix,PreMod,PreDir,PreType,StArticle,StreetName,PostType,PostDir,PostMod,BldgID,BldgSource,BldgTypePl,BldgType,BldgName,FlrTypePl,FlrType,FlrName,UnitType,UnitName,ZipCode,Zip4,LegalComm,PostComm1,PostComm2,PostComm3,OtherComm1,OtherComm2,Source,SourceID,MADRank,AROIDstr,OIDstr,PropType,ObjID,PreDirAbbr,PostDirAbbr,PreTypeAbbr,PostTypeAbbr,FullName,UpdateDate,FullAddress,UniqueID,StName_EnerGov,FullAddress_EnerGov,MSAG_City,ESN,lon,lat
13853,54264,,,,7638.0,,,North,,,Security,Avenue,,,,,,,,,,,,,91504.0,,Los Angeles,Burbank,,,,,LA City,{30AAFCD9-F8E1-4DDF-8C24-7170F6E26BC2},0,,30AAFCD9-F8E1-4DDF-8C24-7170F6E26BC2,Unknown,,N,,,Ave,N Security Ave,2023/09/12 23:03:18+00,7638 N Security Ave Burbank 91504,30AAFCD9-F8E1-4DDF-8C24-7170F6E26BC2_7638_N_Security_Ave_Burbank_91504,Security,7638 N Security Avenue Ave Los Angeles 91504,,,,
59195,234225,,2113011039.0,,20833.0,,,West,,,Covello,Street,,,,,,,,,,,,,91504.0,,Los Angeles,Burbank,,,,,LA City,{87CE5A46-D334-4FAA-B7D9-606CCCB68580},0,,87CE5A46-D334-4FAA-B7D9-606CCCB68580,Unknown,,W,,,St,W Covello St,2023/09/12 23:03:18+00,20833 W Covello St Burbank 91504,87CE5A46-D334-4FAA-B7D9-606CCCB68580_20833_W_Covello_St_Burbank_91504,Covello,20833 W Covello Street St Los Angeles 91504,,,,
59196,234226,,2113011040.0,,20835.0,,,West,,,Covello,Street,,,,,,,,,,,,,91504.0,,Los Angeles,Burbank,,,,,LA City,{C18EC8E9-151F-4701-A3A8-037540BDC898},0,,C18EC8E9-151F-4701-A3A8-037540BDC898,Unknown,,W,,,St,W Covello St,2023/09/12 23:03:18+00,20835 W Covello St Burbank 91504,C18EC8E9-151F-4701-A3A8-037540BDC898_20835_W_Covello_St_Burbank_91504,Covello,20835 W Covello Street St Los Angeles 91504,,,,
61900,236930,,2118006023.0,,18419.0,,,West,,,Covello,Street,,,,,,,,,,,,,91504.0,,Los Angeles,Burbank,,,,,LA City,{BB8B5D67-77F2-4038-9DAB-5B62CE88A512},0,,BB8B5D67-77F2-4038-9DAB-5B62CE88A512,Unknown,,W,,,St,W Covello St,2023/09/12 23:03:18+00,18419 W Covello St Burbank 91504,BB8B5D67-77F2-4038-9DAB-5B62CE88A512_18419_W_Covello_St_Burbank_91504,Covello,18419 W Covello Street St Los Angeles 91504,,,,
209190,384533,,2401041906.0,,9401.0,,,North,,,Cabrini,Drive,,,,,,,,,,,,,91504.0,,Los Angeles,Burbank,,,,,LA City,{9D8C7292-4419-4085-816F-1F4B2E6BB363},0,,9D8C7292-4419-4085-816F-1F4B2E6BB363,Unknown,,N,,,Dr,N Cabrini Dr,2023/09/12 23:03:18+00,9401 N Cabrini Dr Burbank 91504,9D8C7292-4419-4085-816F-1F4B2E6BB363_9401_N_Cabrini_Dr_Burbank_91504,Cabrini,9401 N Cabrini Drive Dr Los Angeles 91504,,,,
209191,384534,,2401042006.0,,9795.0,,,West,,,Cabrini,Drive,,,,,,,,,,,,,91504.0,,Los Angeles,Burbank,,,,,LA City,{7928453A-1B4B-4F01-A5F7-BEE676D547D7},0,,7928453A-1B4B-4F01-A5F7-BEE676D547D7,Unknown,,W,,,Dr,W Cabrini Dr,2023/09/12 23:03:18+00,9795 W Cabrini Dr Burbank 91504,7928453A-1B4B-4F01-A5F7-BEE676D547D7_9795_W_Cabrini_Dr_Burbank_91504,Cabrini,9795 W Cabrini Drive Dr Los Angeles 91504,,,,
209192,384535,,2401042008.0,,7530.0,,,North,,,Glenoaks,Boulevard,,,,,,,,,,,,,91504.0,,Los Angeles,Burbank,,,,,LA City,{A0E23C6C-3494-40EB-9694-97F6DB8C4355},0,,A0E23C6C-3494-40EB-9694-97F6DB8C4355,Unknown,,N,,,Blvd,N Glenoaks Blvd,2023/09/12 23:03:18+00,7530 N Glenoaks Blvd Burbank 91504,A0E23C6C-3494-40EB-9694-97F6DB8C4355_7530_N_Glenoaks_Blvd_Burbank_91504,Glenoaks,7530 N Glenoaks Boulevard Blvd Los Angeles 91504,,,,
209193,384536,,2401042011.0,,7500.0,,,North,,,Glenoaks,Boulevard,,,,,,,,,,,,,91504.0,,Los Angeles,Burbank,,,,,LA City,{650D2680-7CD6-4202-88A0-DAE32A82C372},0,,650D2680-7CD6-4202-88A0-DAE32A82C372,Unknown,,N,,,Blvd,N Glenoaks Blvd,2023/09/12 23:03:18+00,7500 N Glenoaks Blvd Burbank 91504,650D2680-7CD6-4202-88A0-DAE32A82C372_7500_N_Glenoaks_Blvd_Burbank_91504,Glenoaks,7500 N Glenoaks Boulevard Blvd Los Angeles 91504,,,,
209195,384538,,2401042012.0,,7590.0,,,North,,,Glenoaks,Boulevard,,,,,,,,,,,,,91504.0,,Los Angeles,Burbank,,,,,LA City,{9BCEF1C8-62A5-4D66-9B5E-5CA16845CFA8},0,,9BCEF1C8-62A5-4D66-9B5E-5CA16845CFA8,Unknown,,N,,,Blvd,N Glenoaks Blvd,2023/09/12 23:03:18+00,7590 N Glenoaks Blvd Burbank 91504,9BCEF1C8-62A5-4D66-9B5E-5CA16845CFA8_7590_N_Glenoaks_Blvd_Burbank_91504,Glenoaks,7590 N Glenoaks Boulevard Blvd Los Angeles 91504,,,,
209196,384539,,2401042012.0,,7560.0,,,North,,,Glenoaks,Boulevard,,,,,,,,,,,,,91504.0,,Los Angeles,Burbank,,,,,LA City,{B5673119-A802-49BF-ABAE-13A860AF0F84},0,,B5673119-A802-49BF-ABAE-13A860AF0F84,Unknown,,N,,,Blvd,N Glenoaks Blvd,2023/09/12 23:03:18+00,7560 N Glenoaks Blvd Burbank 91504,B5673119-A802-49BF-ABAE-13A860AF0F84_7560_N_Glenoaks_Blvd_Burbank_91504,Glenoaks,7560 N Glenoaks Boulevard Blvd Los Angeles 91504,,,,
209197,384540,,2401043006.0,,7765.0,,,North,Via,,Sorrento,,,,,,,,,,,,,,91504.0,,Los Angeles,Burbank,,,,,LA City,{FF68651E-372C-4FD5-81F5-A21C3A46642A},0,,FF68651E-372C-4FD5-81F5-A21C3A46642A,Unknown,,N,,Via,,N Via Sorrento,2023/09/12 23:03:18+00,7765 N Via Sorrento Burbank 91504,FF68651E-372C-4FD5-81F5-A21C3A46642A_7765_N_Via_Sorrento_Burbank_91504,Via Sorrento,7765 N Via Sorrento Los Angeles 91504,,,,
209198,384541,,2401043006.0,,7770.0,,,North,Via,,Sorrento,,,,,,,,,,,,,,91504.0,,Los Angeles,Burbank,,,,,LA City,{D04DB6E0-FB1D-4BED-90E8-D8CD824BEBDB},0,,D04DB6E0-FB1D-4BED-90E8-D8CD824BEBDB,Unknown,,N,,Via,,N Via Sorrento,2023/09/12 23:03:18+00,7770 N Via Sorrento Burbank 91504,D04DB6E0-FB1D-4BED-90E8-D8CD824BEBDB_7770_N_Via_Sorrento_Burbank_91504,Via Sorrento,7770 N Via Sorrento Los Angeles 91504,,,,
209199,384542,,2401043006.0,,7748.0,,,North,Via,,Napoli,,,,,,,,,,,,,,91504.0,,Los Angeles,Burbank,,,,,LA City,{A1D06E9A-D716-4E17-9598-0CD7D5923E2E},0,,A1D06E9A-D716-4E17-9598-0CD7D5923E2E,Unknown,,N,,Via,,N Via Napoli,2023/09/12 23:03:18+00,7748 N Via Napoli Burbank 91504,A1D06E9A-D716-4E17-9598-0CD7D5923E2E_7748_N_Via_Napoli_Burbank_91504,Via Napoli,7748 N Via Napoli Los Angeles 91504,,,,
