fid,OBJECTID,OBJIDstr,AIN,NumPrefix,Number,NumSuffix,PreMod,PreDir,PreType,StArticle,StreetName,PostType,PostDir,PostMod,BldgID,BldgSource,BldgTypePl,BldgType,BldgName,FlrTypePl,FlrType,FlrName,UnitType,UnitName,ZipCode,Zip4,LegalComm,PostComm1,PostComm2,PostComm3,OtherComm1,OtherComm2,Source,SourceID,MADRank,AROIDstr,OIDstr,PropType,ObjID,PreDirAbbr,PostDirAbbr,PreTypeAbbr,PostTypeAbbr,FullName,UpdateDate,FullAddress,UniqueID,StName_EnerGov,FullAddress_EnerGov,MSAG_City,ESN,lon,lat
12993,38756,,,,11375.0,,,,,,Matteson,Avenue,,,,,,,,,,,Unit,50,90066.0,,Los Angeles,Los Angeles,,,,,Culver GIS,{4E8701CD-7956-4056-99CF-4C9C2D1448B6},0,,4E8701CD-7956-4056-99CF-4C9C2D1448B6,Unknown,,,,,Ave,Matteson Ave,2015/05/11 14:17:57+00,11375 Matteson Ave Unit 50 Los Angeles 90066,4E8701CD-7956-4056-99CF-4C9C2D1448B6_11375_Matteson_Ave_Unit_50_Los_Angeles_90066,Matteson,11375 Matteson Avenue Ave Unit 50 Los Angeles 90066,,,,
13234,45155,,,,4249.0,,,,,,East,Boulevard,,,,,,,,,,,Unit,1,90066.0,,Culver City,Los Angeles,,,,,Culver GIS,{104AB8A5-9700-4E92-AEFA-E863EDC4F509},0,,104AB8A5-9700-4E92-AEFA-E863EDC4F509,Unknown,,,,,Blvd,East Blvd,2018/03/18 10:48:18+00,4249 East Blvd Unit 1 Los Angeles 90066,104AB8A5-9700-4E92-AEFA-E863EDC4F509_4249_East_Blvd_Unit_1_Los_Angeles_90066,East,4249 East Boulevard Blvd Unit 1 Culver City 90066,,,,
13542,53885,,,,12984.0,,,West,,,Culver,Boulevard,,,,,,,,,,,,,90066.0,,Los Angeles,Los Angeles,,,,,LA City,{76C6F05F-4182-4725-A856-B4966E50DF42},0,,76C6F05F-4182-4725-A856-B4966E50DF42,Unknown,,W,,,Blvd,W Culver Blvd,2023/09/12 23:03:18+00,12984 W Culver Blvd Los Angeles 90066,76C6F05F-4182-4725-A856-B4966E50DF42_12984_W_Culver_Blvd_Los_Angeles_90066,Culver,12984 W Culver Boulevard Blvd Los Angeles 90066,,,,
13556,53903,,,,12980.0,,,West,,,Culver,Boulevard,,,,,,,,,,,,,90066.0,,Los Angeles,Los Angeles,,,,,LA City,{AF11B257-F357-4659-9987-51875F75BC85},0,,AF11B257-F357-4659-9987-51875F75BC85,Unknown,,W,,,Blvd,W Culver Blvd,2023/09/12 23:03:18+00,12980 W Culver Blvd Los Angeles 90066,AF11B257-F357-4659-9987-51875F75BC85_12980_W_Culver_Blvd_Los_Angeles_90066,Culver,12980 W Culver Boulevard Blvd Los Angeles 90066,,,,
13799,54197,,,,4989.0,,,South,,,Centinela,Avenue,,,,,,,,,,,,,90066.0,,Los Angeles,Los Angeles,,,,,LA City,{3CFB42C5-8368-4A1D-8124-D0C901FB7853},0,,3CFB42C5-8368-4A1D-8124-D0C901FB7853,Unknown,,S,,,Ave,S Centinela Ave,2023/09/12 23:03:18+00,4989 S Centinela Ave Los Angeles 90066,3CFB42C5-8368-4A1D-8124-D0C901FB7853_4989_S_Centinela_Ave_Los_Angeles_90066,Centinela,4989 S Centinela Avenue Ave Los Angeles 90066,,,,
401076,875233,,4124020909.0,,9516.0,,,,,,Ingleport,Avenue,,,,,,,,,,,,,90066.0,,Los Angeles,Los Angeles,,,,,Assessor,{5197C1AE-0983-445A-AB4E-37C0CD49BD09},0,,5197C1AE-0983-445A-AB4E-37C0CD49BD09,Unknown,,,,,Ave,Ingleport Ave,2024/04/27 17:13:09+00,9516 Ingleport Ave Los Angeles 90066,5197C1AE-0983-445A-AB4E-37C0CD49BD09_9516_Ingleport_Ave_Los_Angeles_90066,Ingleport,9516 Ingleport Avenue Ave Los Angeles 90066,,,,
401077,875234,,4124020910.0,,9428.0,,,,,,Ingleport,Avenue,,,,,,,,,,,,,90066.0,,Los Angeles,Los Angeles,,,,,Assessor,{50327082-6D64-4433-9EDD-1B54AA6C4D98},0,,50327082-6D64-4433-9EDD-1B54AA6C4D98,Unknown,,,,,Ave,Ingleport Ave,2024/04/27 17:13:09+00,9428 Ingleport Ave Los Angeles 90066,50327082-6D64-4433-9EDD-1B54AA6C4D98_9428_Ingleport_Ave_Los_Angeles_90066,Ingleport,9428 Ingleport Avenue Ave Los Angeles 90066,,,,
401078,875235,,4124020911.0,,9512.0,,,,,,Ingleport,Avenue,,,,,,,,,,,,,90066.0,,Los Angeles,Los Angeles,,,,,Assessor,{F4A4D1CC-FB15-4485-967B-745CC40B35F5},0,,F4A4D1CC-FB15-4485-967B-745CC40B35F5,Unknown,,,,,Ave,Ingleport Ave,2024/04/27 17:13:09+00,9512 Ingleport Ave Los Angeles 90066,F4A4D1CC-FB15-4485-967B-745CC40B35F5_9512_Ingleport_Ave_Los_Angeles_90066,Ingleport,9512 Ingleport Avenue Ave Los Angeles 90066,,,,
401079,875236,,4124020912.0,,9506.0,,,,,,Ingleport,Avenue,,,,,,,,,,,,,90066.0,,Los Angeles,Los Angeles,,,,,Assessor,{C25312F6-24DF-41F5-B06D-38FDE5B8282A},0,,C25312F6-24DF-41F5-B06D-38FDE5B8282A,Unknown,,,,,Ave,Ingleport Ave,2024/04/27 17:13:09+00,9506 Ingleport Ave Los Angeles 90066,C25312F6-24DF-41F5-B06D-38FDE5B8282A_9506_Ingleport_Ave_Los_Angeles_90066,Ingleport,9506 Ingleport Avenue Ave Los Angeles 90066,,,,
404825,933207,,4211001001.0,,5309.0,,,South,,,Centinela,Avenue,,,,,,,,,,,,,90066.0,,Unincorporated,Los Angeles,,,,,LACO DPW House Numbering Map,{860E15C5-5F02-48C5-B940-A934D0ABAC98},0,,860E15C5-5F02-48C5-B940-A934D0ABAC98,Unknown,,S,,,Ave,S Centinela Ave,2015/05/04 17:23:44+00,5309 S Centinela Ave Los Angeles 90066,860E15C5-5F02-48C5-B940-A934D0ABAC98_5309_S_Centinela_Ave_Los_Angeles_90066,Centinela,5309 S Centinela Avenue Ave Los Angeles 90066,,,,
