fid,OBJECTID,OBJIDstr,AIN,NumPrefix,Number,NumSuffix,PreMod,PreDir,PreType,StArticle,StreetName,PostType,PostDir,PostMod,BldgID,BldgSource,BldgTypePl,BldgType,BldgName,FlrTypePl,FlrType,FlrName,UnitType,UnitName,ZipCode,Zip4,LegalComm,PostComm1,PostComm2,PostComm3,OtherComm1,OtherComm2,Source,SourceID,MADRank,AROIDstr,OIDstr,PropType,ObjID,PreDirAbbr,PostDirAbbr,PreTypeAbbr,PostTypeAbbr,FullName,UpdateDate,FullAddress,UniqueID,StName_EnerGov,FullAddress_EnerGov,MSAG_City,ESN,lon,lat
827,1333,,,,4224.0,U,,,,,Northridge,Drive,,,,,,,,,,,,,90043.0,,Unincorporated,Los Angeles,View Park,,,,CAMS,{B5A8720A-F6F8-4A33-B83F-9C4DCEAED863},0,,B5A8720A-F6F8-4A33-B83F-9C4DCEAED863,Utility,,,,,Dr,Northridge Dr,2024/07/17 18:16:05+00,4224 U Northridge Dr Los Angeles 90043,B5A8720A-F6F8-4A33-B83F-9C4DCEAED863_4224_U_Northridge_Dr_Los_Angeles_90043,Northridge,4224 U Northridge Drive Dr Los Angeles 90043,,,,
915,1474,,,,5318.0,U,,,,,Angeles Vista,Boulevard,,,,,,,,,,,,,90043.0,,Unincorporated,Los Angeles,View Park,,,,Office of Assessor,{5538462F-D2E9-4AF4-81DF-1C6E6A67D856},0,,5538462F-D2E9-4AF4-81DF-1C6E6A67D856,Utility,,,,,Blvd,Angeles Vista Blvd,2024/07/17 18:16:05+00,5318 U Angeles Vista Blvd Los Angeles 90043,5538462F-D2E9-4AF4-81DF-1C6E6A67D856_5318_U_Angeles_Vista_Blvd_Los_Angeles_90043,Angeles Vista,5318 U Angeles Vista Boulevard Blvd Los Angeles 90043,,,,
1551,2526,,,,4724.0,U,,,,,Presidio,Drive,,,,,,,,,,,,,90043.0,,Unincorporated,Los Angeles,View Park,,,,CAMS,{502112AF-7EE2-47F3-B141-7F48A1D9E996},0,,502112AF-7EE2-47F3-B141-7F48A1D9E996,Utility,,,,,Dr,Presidio Dr,2024/07/17 18:16:05+00,4724 U Presidio Dr Los Angeles 90043,502112AF-7EE2-47F3-B141-7F48A1D9E996_4724_U_Presidio_Dr_Los_Angeles_90043,Presidio,4724 U Presidio Drive Dr Los Angeles 90043,,,,
1841,3000,,,,5322.0,U,,,,,Overhill,Drive,,,,,,,,,,,,,90043.0,,Unincorporated,Los Angeles,View Park,,,,LACO DPW Add,{8DEE59DD-8F31-4A35-85FA-70C8D3F1E347},0,,8DEE59DD-8F31-4A35-85FA-70C8D3F1E347,Utility,,,,,Dr,Overhill Dr,2024/07/17 18:16:05+00,5322 U Overhill Dr Los Angeles 90043,8DEE59DD-8F31-4A35-85FA-70C8D3F1E347_5322_U_Overhill_Dr_Los_Angeles_90043,Overhill,5322 U Overhill Drive Dr Los Angeles 90043,,,,
2563,4226,,,,5130.0,U,,,,,Angeles Vista,Boulevard,,,,,,,,,,,,,90043.0,,Unincorporated,Los Angeles,View Park,,,,CAMS,{A23DC0AC-F4B7-41C4-90B8-A18442DEDB39},0,,A23DC0AC-F4B7-41C4-90B8-A18442DEDB39,Utility,,,,,Blvd,Angeles Vista Blvd,2024/07/17 18:16:05+00,5130 U Angeles Vista Blvd Los Angeles 90043,A23DC0AC-F4B7-41C4-90B8-A18442DEDB39_5130_U_Angeles_Vista_Blvd_Los_Angeles_90043,Angeles Vista,5130 U Angeles Vista Boulevard Blvd Los Angeles 90043,,,,
4565,7508,,,,5678.0,U,,,,,Heatherdale,Drive,,,,,,,,,,,,,90043.0,,Unincorporated,Los Angeles,View Park,,,,LACO DPW Add,{EDF186E4-C514-4021-8DA1-640D2098BC40},0,,EDF186E4-C514-4021-8DA1-640D2098BC40,Utility,,,,,Dr,Heatherdale Dr,2024/07/17 18:16:05+00,5678 U Heatherdale Dr Los Angeles 90043,EDF186E4-C514-4021-8DA1-640D2098BC40_5678_U_Heatherdale_Dr_Los_Angeles_90043,Heatherdale,5678 U Heatherdale Drive Dr Los Angeles 90043,,,,
7688,12538,,,,5751.0,U,,,,,Deane,Avenue,,,,,,,,,,,,,90043.0,,Unincorporated,Los Angeles,View Park,,,,CAMS,{A465B034-FAB6-45D5-884E-58766CB4A2A0},0,,A465B034-FAB6-45D5-884E-58766CB4A2A0,Utility,,,,,Ave,Deane Ave,2024/07/17 18:16:05+00,5751 U Deane Ave Los Angeles 90043,A465B034-FAB6-45D5-884E-58766CB4A2A0_5751_U_Deane_Ave_Los_Angeles_90043,Deane,5751 U Deane Avenue Ave Los Angeles 90043,,,,
7841,12775,,,,5453.0,U,,,,,Angeles Vista,Boulevard,,,,,,,,,,,,,90043.0,,Unincorporated,Los Angeles,View Park,,,,CAMS,{415B24DE-45BC-4709-A84F-E9CB1F844548},0,,415B24DE-45BC-4709-A84F-E9CB1F844548,Utility,,,,,Blvd,Angeles Vista Blvd,2024/07/17 18:16:05+00,5453 U Angeles Vista Blvd Los Angeles 90043,415B24DE-45BC-4709-A84F-E9CB1F844548_5453_U_Angeles_Vista_Blvd_Los_Angeles_90043,Angeles Vista,5453 U Angeles Vista Boulevard Blvd Los Angeles 90043,,,,
9300,15518,,,,4521.0,U,,West,,,Slauson,Avenue,,,,,,,,,,,,,90043.0,,Unincorporated,Los Angeles,View Park,,,,LACO DPW Add,{E86ECFDD-BD87-4290-84A0-A799381A524D},0,,E86ECFDD-BD87-4290-84A0-A799381A524D,Utility,,W,,,Ave,W Slauson Ave,2024/07/17 18:16:05+00,4521 U W Slauson Ave Los Angeles 90043,E86ECFDD-BD87-4290-84A0-A799381A524D_4521_U_W_Slauson_Ave_Los_Angeles_90043,Slauson,4521 U W Slauson Avenue Ave Los Angeles 90043,,,,
12541,28198,,,,5819.0,U,,,,,Overhill,Drive,,,,,,,,,,,,,90043.0,,Unincorporated,Los Angeles,View Park,,,,LACO DPW Add,{C768D9F4-4999-4CEA-89D7-AF03700D26A8},0,,C768D9F4-4999-4CEA-89D7-AF03700D26A8,Utility,,,,,Dr,Overhill Dr,2024/10/22 23:12:55+00,5819 U Overhill Dr Los Angeles 90043,C768D9F4-4999-4CEA-89D7-AF03700D26A8_5819_U_Overhill_Dr_Los_Angeles_90043,Overhill,5819 U Overhill Drive Dr Los Angeles 90043,,,,
12559,28277,,,,3816.0,,,,,,Monteith,Drive,,,,,,,,,,,,,90043.0,,Unincorporated,Los Angeles,View Park,,,,LACO DPW Add,{94EE63B5-4058-4A2B-92E7-392CF31C3D52},0,,94EE63B5-4058-4A2B-92E7-392CF31C3D52,Unknown,,,,,Dr,Monteith Dr,2024/11/05 16:33:32+00,3816 Monteith Dr Los Angeles 90043,94EE63B5-4058-4A2B-92E7-392CF31C3D52_3816_Monteith_Dr_Los_Angeles_90043,Monteith,3816 Monteith Drive Dr Los Angeles 90043,,,,
372105,796628,,4002024001.0,,6220.0,,,South,,,La Brea,Avenue,,,,,,,,,,,,,90043.0,,Los Angeles,Los Angeles,View Park,,,,LA City,{C89650B3-9DDA-4823-A7E8-0E1B030101B6},0,,C89650B3-9DDA-4823-A7E8-0E1B030101B6,Unknown,,S,,,Ave,S La Brea Ave,2023/09/12 23:03:18+00,6220 S La Brea Ave Los Angeles 90043,C89650B3-9DDA-4823-A7E8-0E1B030101B6_6220_S_La_Brea_Ave_Los_Angeles_90043,La Brea,6220 S La Brea Avenue Ave Los Angeles 90043,,,,
372106,796629,,4002024001.0,,4685.0,,,West,,,62Nd,Place,,,,,,,,,,,,,90043.0,,Los Angeles,Los Angeles,View Park,,,,LA City,{C1CE4504-C315-4A3F-83FD-33FE94D61E62},0,,C1CE4504-C315-4A3F-83FD-33FE94D61E62,Unknown,,W,,,Pl,W 62Nd Pl,2023/09/12 23:03:18+00,4685 W 62Nd Pl Los Angeles 90043,C1CE4504-C315-4A3F-83FD-33FE94D61E62_4685_W_62Nd_Pl_Los_Angeles_90043,62Nd,4685 W 62Nd Place Pl Los Angeles 90043,,,,
372107,796630,,4002024004.0,,4564.0,,,West,,,62nd,Street,,,,,,,,,,,,,90043.0,,Unincorporated,Los Angeles,View Park,,,,LACO DPW House Numbering Map,{54047790-225E-4257-B855-9A760E34C4F0},0,,54047790-225E-4257-B855-9A760E34C4F0,Unknown,,W,,,St,W 62nd St,2015/05/07 21:54:15+00,4564 W 62nd St Los Angeles 90043,54047790-225E-4257-B855-9A760E34C4F0_4564_W_62nd_St_Los_Angeles_90043,62nd,4564 W 62nd Street St Los Angeles 90043,,,,
372108,796631,,4002024005.0,,4558.0,,,West,,,62nd,Street,,,,,,,,,,,,,90043.0,,Unincorporated,Los Angeles,View Park,,,,LACO DPW House Numbering Map,{ED94C96A-DD76-4E5F-9549-AB1D6E4137E9},0,,ED94C96A-DD76-4E5F-9549-AB1D6E4137E9,Unknown,,W,,,St,W 62nd St,2015/05/07 21:54:15+00,4558 W 62nd St Los Angeles 90043,ED94C96A-DD76-4E5F-9549-AB1D6E4137E9_4558_W_62nd_St_Los_Angeles_90043,62nd,4558 W 62nd Street St Los Angeles 90043,,,,
372109,796632,,4002024006.0,,4554.0,,,West,,,62nd,Street,,,,,,,,,,,,,90043.0,,Unincorporated,Los Angeles,View Park,,,,LACO DPW House Numbering Map,{71E438AF-31CD-4A84-9679-807D381965F4},0,,71E438AF-31CD-4A84-9679-807D381965F4,Unknown,,W,,,St,W 62nd St,2015/05/07 21:54:15+00,4554 W 62nd St Los Angeles 90043,71E438AF-31CD-4A84-9679-807D381965F4_4554_W_62nd_St_Los_Angeles_90043,62nd,4554 W 62nd Street St Los Angeles 90043,,,,
372110,796633,,4002024007.0,,4548.0,,,West,,,62nd,Street,,,,,,,,,,,,,90043.0,,Unincorporated,Los Angeles,View Park,,,,LACO DPW House Numbering Map,{5955F599-A9AB-4F48-A8D1-4BEA32000383},0,,5955F599-A9AB-4F48-A8D1-4BEA32000383,Unknown,,W,,,St,W 62nd St,2015/05/07 21:54:15+00,4548 W 62nd St Los Angeles 90043,5955F599-A9AB-4F48-A8D1-4BEA32000383_4548_W_62nd_St_Los_Angeles_90043,62nd,4548 W 62nd Street St Los Angeles 90043,,,,
372111,796634,,4002024008.0,,4544.0,,,West,,,62nd,Street,,,,,,,,,,,,,90043.0,,Unincorporated,Los Angeles,View Park,,,,LACO DPW House Numbering Map,{7AF3ADCF-2E27-4516-921C-3CA2FBF1F133},0,,7AF3ADCF-2E27-4516-921C-3CA2FBF1F133,Unknown,,W,,,St,W 62nd St,2015/05/07 21:54:15+00,4544 W 62nd St Los Angeles 90043,7AF3ADCF-2E27-4516-921C-3CA2FBF1F133_4544_W_62nd_St_Los_Angeles_90043,62nd,4544 W 62nd Street St Los Angeles 90043,,,,
372112,796635,,4002024009.0,,4538.0,,,West,,,62nd,Street,,,,,,,,,,,,,90043.0,,Unincorporated,Los Angeles,View Park,,,,LACO DPW House Numbering Map,{CA3D9DC3-B5F9-46A8-9030-04601CC21D82},0,,CA3D9DC3-B5F9-46A8-9030-04601CC21D82,Unknown,,W,,,St,W 62nd St,2015/05/07 21:54:15+00,4538 W 62nd St Los Angeles 90043,CA3D9DC3-B5F9-46A8-9030-04601CC21D82_4538_W_62nd_St_Los_Angeles_90043,62nd,4538 W 62nd Street St Los Angeles 90043,,,,
372113,796636,,4002024010.0,,4647.0,,,West,,,62Nd,Place,,,,,,,,,,,,,90043.0,,Los Angeles,Los Angeles,View Park,,,,LA City,{BCBE7E9D-D734-43A1-BD20-EB831E306D1C},0,,BCBE7E9D-D734-43A1-BD20-EB831E306D1C,Unknown,,W,,,Pl,W 62Nd Pl,2023/09/12 23:03:18+00,4647 W 62Nd Pl Los Angeles 90043,BCBE7E9D-D734-43A1-BD20-EB831E306D1C_4647_W_62Nd_Pl_Los_Angeles_90043,62Nd,4647 W 62Nd Place Pl Los Angeles 90043,,,,
372115,796638,,4002024022.0,,4651.0,,,West,,,62nd,Place,,,,,,,,,,,,,90043.0,,Unincorporated,Los Angeles,View Park,,,,LACO DPW House Numbering Map,{75F9DFE2-CCD2-4086-9E18-2138D5771875},0,,75F9DFE2-CCD2-4086-9E18-2138D5771875,Unknown,,W,,,Pl,W 62nd Pl,2015/05/11 20:02:20+00,4651 W 62nd Pl Los Angeles 90043,75F9DFE2-CCD2-4086-9E18-2138D5771875_4651_W_62nd_Pl_Los_Angeles_90043,62nd,4651 W 62nd Place Pl Los Angeles 90043,,,,
372116,796639,,4002024022.0,,4651.0,,,West,,,62Nd,Place,,,,,,,,,,,,,90043.0,,Los Angeles,Los Angeles,View Park,,,,LA City,{3BD6E911-6D69-4DD8-B339-713108696062},0,,3BD6E911-6D69-4DD8-B339-713108696062,Unknown,,W,,,Pl,W 62Nd Pl,2023/09/12 23:03:18+00,4651 W 62Nd Pl Los Angeles 90043,3BD6E911-6D69-4DD8-B339-713108696062_4651_W_62Nd_Pl_Los_Angeles_90043,62Nd,4651 W 62Nd Place Pl Los Angeles 90043,,,,
372117,796640,,4002024023.0,,4657.0,,,West,,,62nd,Place,,,,,,,,,,,,,90043.0,,Unincorporated,Los Angeles,View Park,,,,LACO DPW House Numbering Map,{87510790-7D08-44A0-805A-50E0C15B780D},0,,87510790-7D08-44A0-805A-50E0C15B780D,Unknown,,W,,,Pl,W 62nd Pl,2015/05/11 20:02:20+00,4657 W 62nd Pl Los Angeles 90043,87510790-7D08-44A0-805A-50E0C15B780D_4657_W_62nd_Pl_Los_Angeles_90043,62nd,4657 W 62nd Place Pl Los Angeles 90043,,,,
