fid,OBJECTID,OBJIDstr,AIN,NumPrefix,Number,NumSuffix,PreMod,PreDir,PreType,StArticle,StreetName,PostType,PostDir,PostMod,BldgID,BldgSource,BldgTypePl,BldgType,BldgName,FlrTypePl,FlrType,FlrName,UnitType,UnitName,ZipCode,Zip4,LegalComm,PostComm1,PostComm2,PostComm3,OtherComm1,OtherComm2,Source,SourceID,MADRank,AROIDstr,OIDstr,PropType,ObjID,PreDirAbbr,PostDirAbbr,PreTypeAbbr,PostTypeAbbr,FullName,UpdateDate,FullAddress,UniqueID,StName_EnerGov,FullAddress_EnerGov,MSAG_City,ESN,lon,lat
270774,469461,,2581001008.0,,22160.0,T,,,,,Sierra,Highway,,,,,,,,,,,,,91321.0,,Unincorporated,Newhall,,,,,LACO DPW Add,{450975CA-A453-402C-A927-6FC0CCF7E2FC},0,,450975CA-A453-402C-A927-6FC0CCF7E2FC,Unknown,,,,,Hwy,Sierra Hwy,2015/05/04 20:37:08+00,22160 T Sierra Hwy Newhall 91321,450975CA-A453-402C-A927-6FC0CCF7E2FC_22160_T_Sierra_Hwy_Newhall_91321,Sierra,22160 T Sierra Highway Hwy Newhall 91321,,,,
370041,611679,,2827030272.0,,22355.0,U,,,,The,Old,Road,,,,,,,,,,,,,91321.0,,Unincorporated,Newhall,,,,,LACO DPW Add,{3D0519B4-EE26-469B-BA93-5377A7AF780D},0,,3D0519B4-EE26-469B-BA93-5377A7AF780D,Utility,,,,,Rd,The Old Rd,2024/08/21 22:55:10+00,22355 U The Old Rd Newhall 91321,3D0519B4-EE26-469B-BA93-5377A7AF780D_22355_U_The_Old_Rd_Newhall_91321,The Old,22355 U The Old Road Rd Newhall 91321,,,,
370043,611681,,2827031902.0,,22348.0,U,,,,The,Old,Road,,,,,,,,,,,,,91321.0,,Unincorporated,Newhall,,,,,LACO DPW Add,{C046A318-89F3-4C05-934B-96FBCE2C9773},0,,C046A318-89F3-4C05-934B-96FBCE2C9773,Utility,,,,,Rd,The Old Rd,2024/08/21 22:55:10+00,22348 U The Old Rd Newhall 91321,C046A318-89F3-4C05-934B-96FBCE2C9773_22348_U_The_Old_Rd_Newhall_91321,The Old,22348 U The Old Road Rd Newhall 91321,,,,
