fid,OBJECTID,OBJIDstr,AIN,NumPrefix,Number,NumSuffix,PreMod,PreDir,PreType,StArticle,StreetName,PostType,PostDir,PostMod,BldgID,BldgSource,BldgTypePl,BldgType,BldgName,FlrTypePl,FlrType,FlrName,UnitType,UnitName,ZipCode,Zip4,LegalComm,PostComm1,PostComm2,PostComm3,OtherComm1,OtherComm2,Source,SourceID,MADRank,AROIDstr,OIDstr,PropType,ObjID,PreDirAbbr,PostDirAbbr,PreTypeAbbr,PostTypeAbbr,FullName,UpdateDate,FullAddress,UniqueID,StName_EnerGov,FullAddress_EnerGov,MSAG_City,ESN,lon,lat
245,374,,,,24480.0,U,,,,,Normandie,Avenue,,,,,,,,,,,,,90710.0,,Unincorporated,Harbor City,,,,,CAMS,{EA7816D0-A722-4172-83FB-59604FE24136},0,,EA7816D0-A722-4172-83FB-59604FE24136,Utility,,,,,Ave,Normandie Ave,2024/07/17 18:16:05+00,24480 U Normandie Ave Harbor City 90710,EA7816D0-A722-4172-83FB-59604FE24136_24480_U_Normandie_Ave_Harbor_City_90710,Normandie,24480 U Normandie Avenue Ave Harbor City 90710,,,,
297,462,,,,24520.0,,,,,,Frampton,Avenue,,,,,,,,,,,,,90710.0,,Unincorporated,Harbor City,,,,,LACO DPW House Numbering Map,{5D2B40EA-7FE2-4818-A2A3-C1EC81A732B4},0,,5D2B40EA-7FE2-4818-A2A3-C1EC81A732B4,Unknown,,,,,Ave,Frampton Ave,2021/09/30 13:16:09+00,24520 Frampton Ave Harbor City 90710,5D2B40EA-7FE2-4818-A2A3-C1EC81A732B4_24520_Frampton_Ave_Harbor_City_90710,Frampton,24520 Frampton Avenue Ave Harbor City 90710,,,,
1036,1661,,,,24802.0,,,,,,Frampton,Avenue,,,,,,,,,,,,,90710.0,,Unincorporated,Harbor City,,,,,LACO DPW House Numbering Map,{F1DF177D-1A45-4C12-ABD2-50F19B017976},0,,F1DF177D-1A45-4C12-ABD2-50F19B017976,Unknown,,,,,Ave,Frampton Ave,2021/09/30 13:45:24+00,24802 Frampton Ave Harbor City 90710,F1DF177D-1A45-4C12-ABD2-50F19B017976_24802_Frampton_Ave_Harbor_City_90710,Frampton,24802 Frampton Avenue Ave Harbor City 90710,,,,
1174,1892,,,,24828.0,,,,,,Frampton,Avenue,,,,,,,,,,,,,90710.0,,Unincorporated,Harbor City,,,,,LACO DPW House Numbering Map,{9532D088-2EB8-49D7-B0F2-C703D236C4D9},0,,9532D088-2EB8-49D7-B0F2-C703D236C4D9,Unknown,,,,,Ave,Frampton Ave,2021/09/30 13:45:24+00,24828 Frampton Ave Harbor City 90710,9532D088-2EB8-49D7-B0F2-C703D236C4D9_24828_Frampton_Ave_Harbor_City_90710,Frampton,24828 Frampton Avenue Ave Harbor City 90710,,,,
1328,2160,,,,24510.0,,,,,,Frampton,Avenue,,,,,,,,,,,,,90710.0,,Unincorporated,Harbor City,,,,,LACO DPW House Numbering Map,{CE5187E1-226D-42E5-9918-4A0B109ED71F},0,,CE5187E1-226D-42E5-9918-4A0B109ED71F,Unknown,,,,,Ave,Frampton Ave,2021/09/30 13:16:09+00,24510 Frampton Ave Harbor City 90710,CE5187E1-226D-42E5-9918-4A0B109ED71F_24510_Frampton_Ave_Harbor_City_90710,Frampton,24510 Frampton Avenue Ave Harbor City 90710,,,,
1381,2238,,,,1065.0,U,,West,,,Lomita,Boulevard,,,,,,,,,,,,,90710.0,,Unincorporated,Harbor City,,,,,CAMS,{6552994C-004F-43A3-B238-F0E29B12DEB2},0,,6552994C-004F-43A3-B238-F0E29B12DEB2,Unknown,,W,,,Blvd,W Lomita Blvd,2024/07/17 18:16:05+00,1065 U W Lomita Blvd Harbor City 90710,6552994C-004F-43A3-B238-F0E29B12DEB2_1065_U_W_Lomita_Blvd_Harbor_City_90710,Lomita,1065 U W Lomita Boulevard Blvd Harbor City 90710,,,,
1938,3168,,,,24504.0,,,,,,Frampton,Avenue,,,,,,,,,,,,,90710.0,,Unincorporated,Harbor City,,,,,LACO DPW House Numbering Map,{D968D8E3-C3FE-4081-8E48-7F8994C6B498},0,,D968D8E3-C3FE-4081-8E48-7F8994C6B498,Unknown,,,,,Ave,Frampton Ave,2021/09/30 13:16:09+00,24504 Frampton Ave Harbor City 90710,D968D8E3-C3FE-4081-8E48-7F8994C6B498_24504_Frampton_Ave_Harbor_City_90710,Frampton,24504 Frampton Avenue Ave Harbor City 90710,,,,
2235,3662,,,,24612.0,,,,,,Frampton,Avenue,,,,,,,,,,,,,90710.0,,Unincorporated,Harbor City,,,,,LACO DPW House Numbering Map,{740A7488-23D3-49FA-90E0-39F617A52208},0,,740A7488-23D3-49FA-90E0-39F617A52208,Unknown,,,,,Ave,Frampton Ave,2021/09/30 13:45:24+00,24612 Frampton Ave Harbor City 90710,740A7488-23D3-49FA-90E0-39F617A52208_24612_Frampton_Ave_Harbor_City_90710,Frampton,24612 Frampton Avenue Ave Harbor City 90710,,,,
2332,3827,,,,24838.0,,,,,,Frampton,Avenue,,,,,,,,,,,,,90710.0,,Unincorporated,Harbor City,,,,,LACO DPW Add,{E9BA0108-EF18-4D8A-A388-3145516C8A61},0,,E9BA0108-EF18-4D8A-A388-3145516C8A61,Unknown,,,,,Ave,Frampton Ave,2021/09/30 13:45:24+00,24838 Frampton Ave Harbor City 90710,E9BA0108-EF18-4D8A-A388-3145516C8A61_24838_Frampton_Ave_Harbor_City_90710,Frampton,24838 Frampton Avenue Ave Harbor City 90710,,,,
2545,4197,,,,24516.0,,,,,,Frampton,Avenue,,,,,,,,,,,,,90710.0,,Unincorporated,Harbor City,,,,,LACO DPW House Numbering Map,{70594E75-FB33-4926-AEA9-CF9821CAD54B},0,,70594E75-FB33-4926-AEA9-CF9821CAD54B,Unknown,,,,,Ave,Frampton Ave,2021/09/30 13:16:09+00,24516 Frampton Ave Harbor City 90710,70594E75-FB33-4926-AEA9-CF9821CAD54B_24516_Frampton_Ave_Harbor_City_90710,Frampton,24516 Frampton Avenue Ave Harbor City 90710,,,,
2566,4232,,,,24842.0,,,,,,Frampton,Avenue,,,,,,,,,,,,,90710.0,,Unincorporated,Harbor City,,,,,LACO DPW Add,{3F02E83C-9F72-457A-B5D8-F56F21182FA3},0,,3F02E83C-9F72-457A-B5D8-F56F21182FA3,Unknown,,,,,Ave,Frampton Ave,2021/09/30 13:45:24+00,24842 Frampton Ave Harbor City 90710,3F02E83C-9F72-457A-B5D8-F56F21182FA3_24842_Frampton_Ave_Harbor_City_90710,Frampton,24842 Frampton Avenue Ave Harbor City 90710,,,,
2647,4370,,,,24524.0,,,,,,Frampton,Avenue,,,,,,,,,,,,,90710.0,,Unincorporated,Harbor City,,,,,LACO DPW House Numbering Map,{53DBA934-E458-477E-8A7C-2EA887FA7147},0,,53DBA934-E458-477E-8A7C-2EA887FA7147,Unknown,,,,,Ave,Frampton Ave,2021/09/30 13:16:09+00,24524 Frampton Ave Harbor City 90710,53DBA934-E458-477E-8A7C-2EA887FA7147_24524_Frampton_Ave_Harbor_City_90710,Frampton,24524 Frampton Avenue Ave Harbor City 90710,,,,
2777,4609,,,,24604.0,,,,,,Frampton,Avenue,,,,,,,,,,,,,90710.0,,Unincorporated,Harbor City,,,,,LACO DPW House Numbering Map,{24190735-9B7E-4057-9A7C-3AFBE0BDC8D4},0,,24190735-9B7E-4057-9A7C-3AFBE0BDC8D4,Unknown,,,,,Ave,Frampton Ave,2021/09/30 13:45:24+00,24604 Frampton Ave Harbor City 90710,24190735-9B7E-4057-9A7C-3AFBE0BDC8D4_24604_Frampton_Ave_Harbor_City_90710,Frampton,24604 Frampton Avenue Ave Harbor City 90710,,,,
2822,4681,,,,24716.0,,,,,,Frampton,Avenue,,,,,,,,,,,,,90710.0,,Unincorporated,Harbor City,,,,,LACO DPW House Numbering Map,{60F8F2B8-83E7-4300-8776-C608B01C060E},0,,60F8F2B8-83E7-4300-8776-C608B01C060E,Unknown,,,,,Ave,Frampton Ave,2021/09/30 13:45:24+00,24716 Frampton Ave Harbor City 90710,60F8F2B8-83E7-4300-8776-C608B01C060E_24716_Frampton_Ave_Harbor_City_90710,Frampton,24716 Frampton Avenue Ave Harbor City 90710,,,,
2940,4863,,,,24810.0,,,,,,Frampton,Avenue,,,,,,,,,,,,,90710.0,,Unincorporated,Harbor City,,,,,LACO DPW House Numbering Map,{0E16217E-F0A5-4481-934B-A12619E8BD3F},0,,0E16217E-F0A5-4481-934B-A12619E8BD3F,Unknown,,,,,Ave,Frampton Ave,2021/09/30 13:45:24+00,24810 Frampton Ave Harbor City 90710,0E16217E-F0A5-4481-934B-A12619E8BD3F_24810_Frampton_Ave_Harbor_City_90710,Frampton,24810 Frampton Avenue Ave Harbor City 90710,,,,
